Round	N2_TFT-E+AllC_mean	N2_TFT-E+AllD_mean	P2_TFT-E+AllC_mean	P2_TFT-E+AllD_mean
1	0.92	0.915	0.8925	0.915
2	0.86	0.625	0.8675	0.48
3	0.82	0.45	0.86	0.48
4	0.805	0.35	0.825	0.41
5	0.765	0.275	0.7825	0.37
6	0.805	0.305	0.75	0.375
7	0.79	0.305	0.7475	0.36
8	0.77	0.235	0.7275	0.3325
9	0.79	0.205	0.72	0.33
10	0.775	0.295	0.7	0.33
11	0.775	0.265	0.69	0.32
12	0.735	0.23	0.6925	0.3275
13	0.725	0.28	0.6875	0.3025
14	0.72	0.2	0.68	0.31
15	0.75	0.23	0.6925	0.3
16	0.755	0.195	0.7025	0.295
17	0.725	0.17	0.7	0.2825
18	0.72	0.24	0.7075	0.3075
19	0.735	0.16	0.69	0.2725
20	0.745	0.155	0.7075	0.2975
21	0.755	0.225	0.715	0.2925
22	0.79	0.21	0.6825	0.2875
23	0.785	0.2	0.67	0.295
24	0.785	0.225	0.69	0.3175
25	0.815	0.215	0.6975	0.305
26	0.825	0.215	0.7075	0.2575
27	0.795	0.195	0.68	0.27
28	0.81	0.21	0.695	0.2675
29	0.835	0.19	0.705	0.28
30	0.84	0.195	0.7175	0.27
31	0.85	0.19	0.655	0.2675
32	0.815	0.195	0.68	0.25
33	0.79	0.185	0.685	0.275
34	0.79	0.225	0.685	0.2775
35	0.81	0.235	0.65	0.3
36	0.825	0.255	0.67	0.3175
37	0.815	0.23	0.6975	0.3125
38	0.79	0.235	0.6575	0.3
39	0.765	0.275	0.65	0.3025
40	0.81	0.235	0.7	0.3
41	0.845	0.26	0.6875	0.28
42	0.795	0.225	0.685	0.3175
43	0.73	0.185	0.685	0.2725
44	0.77	0.165	0.715	0.29
45	0.75	0.235	0.7075	0.2975
46	0.76	0.205	0.7	0.3125
47	0.725	0.24	0.71	0.3225
48	0.72	0.2	0.685	0.275
49	0.735	0.185	0.675	0.28
50	0.76	0.185	0.7	0.2975
51	0.81	0.245	0.7	0.2775
52	0.79	0.245	0.7075	0.2825
53	0.745	0.19	0.705	0.29
54	0.76	0.195	0.715	0.31
55	0.77	0.3	0.705	0.305
56	0.805	0.225	0.7225	0.29
57	0.815	0.185	0.725	0.3025
58	0.795	0.2	0.7325	0.2825
59	0.83	0.205	0.7225	0.305
60	0.77	0.225	0.715	0.28
61	0.775	0.265	0.705	0.315
62	0.755	0.265	0.73	0.3025
63	0.8	0.2	0.74	0.2725
64	0.83	0.22	0.715	0.2875
65	0.77	0.21	0.715	0.2975
66	0.805	0.19	0.6875	0.275
67	0.825	0.175	0.7025	0.275
68	0.825	0.17	0.6875	0.28
69	0.775	0.17	0.72	0.2975
70	0.81	0.22	0.6825	0.2975
71	0.795	0.21	0.68	0.305
72	0.775	0.245	0.6875	0.325
73	0.81	0.2	0.6925	0.3325
74	0.765	0.19	0.6925	0.3425
75	0.75	0.2	0.7075	0.3325
76	0.78	0.245	0.7025	0.3075
77	0.76	0.21	0.705	0.3325
78	0.785	0.205	0.675	0.2975
79	0.765	0.18	0.7	0.3
80	0.8	0.17	0.6825	0.3125
81	0.755	0.18	0.74	0.2725
82	0.795	0.195	0.6975	0.305
83	0.795	0.23	0.71	0.295
84	0.8	0.285	0.7125	0.3075
85	0.805	0.215	0.71	0.3125
86	0.785	0.225	0.72	0.29
87	0.78	0.28	0.7175	0.285
88	0.8	0.255	0.7175	0.2975
89	0.845	0.215	0.71	0.3175
90	0.835	0.235	0.6925	0.31
91	0.805	0.235	0.6725	0.3225
92	0.75	0.215	0.665	0.3325
93	0.765	0.24	0.685	0.305
94	0.81	0.21	0.6775	0.3125
95	0.805	0.23	0.68	0.3075
96	0.8	0.235	0.68	0.3125
97	0.765	0.18	0.6775	0.3425
98	0.785	0.165	0.6925	0.32
99	0.765	0.22	0.69	0.3025
100	0.735	0.27	0.685	0.3125
