Round	PQL_1_mean	PQL_2_mean	PTFT-E_1_mean	Pavg1-2	QL_1_mean	QL_2_mean	TFT-E_1_mean	
1	0.825	0.82	0.875	0.8225	0.82	0.89	0.95	0.855
2	0.83	0.765	0.725	0.7975	0.9	0.81	0.84	0.855
3	0.88	0.85	0.735	0.865	0.8	0.79	0.75	0.795
4	0.795	0.815	0.795	0.805	0.84	0.82	0.74	0.83
5	0.83	0.82	0.7	0.825	0.8	0.82	0.79	0.81
6	0.84	0.84	0.755	0.84	0.73	0.83	0.67	0.78
7	0.76	0.72	0.77	0.74	0.8	0.8	0.68	0.8
8	0.805	0.785	0.67	0.795	0.81	0.81	0.75	0.81
9	0.785	0.735	0.715	0.76	0.77	0.79	0.76	0.78
10	0.755	0.765	0.66	0.76	0.76	0.75	0.75	0.755
11	0.77	0.7	0.715	0.735	0.78	0.74	0.72	0.76
12	0.82	0.785	0.67	0.8025	0.7	0.74	0.7	0.72
13	0.75	0.765	0.73	0.7575	0.77	0.75	0.66	0.76
14	0.725	0.745	0.7	0.735	0.8	0.7	0.6	0.75
15	0.75	0.785	0.685	0.7675	0.76	0.67	0.7	0.715
16	0.775	0.695	0.74	0.735	0.75	0.74	0.7	0.745
17	0.73	0.735	0.68	0.7325	0.72	0.72	0.63	0.72
18	0.745	0.745	0.715	0.745	0.75	0.7	0.65	0.725
19	0.71	0.735	0.665	0.7225	0.69	0.79	0.66	0.74
20	0.715	0.705	0.68	0.71	0.74	0.8	0.7	0.77
21	0.71	0.735	0.665	0.7225	0.72	0.7	0.73	0.71
22	0.745	0.75	0.7	0.7475	0.61	0.76	0.61	0.685
23	0.71	0.76	0.695	0.735	0.79	0.66	0.72	0.725
24	0.715	0.76	0.695	0.7375	0.61	0.73	0.66	0.67
25	0.73	0.72	0.68	0.725	0.67	0.66	0.61	0.665
26	0.725	0.745	0.635	0.735	0.65	0.75	0.62	0.7
27	0.74	0.78	0.67	0.76	0.69	0.71	0.61	0.7
28	0.725	0.715	0.705	0.72	0.67	0.7	0.66	0.685
29	0.7	0.755	0.645	0.7275	0.62	0.77	0.64	0.695
30	0.75	0.73	0.72	0.74	0.62	0.7	0.68	0.66
31	0.73	0.735	0.705	0.7325	0.66	0.77	0.65	0.715
32	0.725	0.7	0.705	0.7125	0.65	0.62	0.67	0.635
33	0.75	0.745	0.68	0.7475	0.63	0.72	0.66	0.675
34	0.665	0.73	0.675	0.6975	0.66	0.77	0.61	0.715
35	0.705	0.735	0.66	0.72	0.63	0.71	0.63	0.67
36	0.735	0.72	0.7	0.7275	0.72	0.74	0.68	0.73
37	0.775	0.735	0.65	0.755	0.63	0.69	0.66	0.66
38	0.7	0.73	0.68	0.715	0.63	0.71	0.61	0.67
39	0.745	0.695	0.65	0.72	0.63	0.67	0.63	0.65
40	0.785	0.71	0.685	0.7475	0.62	0.65	0.68	0.635
41	0.66	0.76	0.72	0.71	0.72	0.68	0.58	0.7
42	0.795	0.74	0.68	0.7675	0.61	0.64	0.59	0.625
43	0.71	0.72	0.705	0.715	0.71	0.72	0.56	0.715
44	0.755	0.7	0.71	0.7275	0.68	0.65	0.63	0.665
45	0.74	0.75	0.715	0.745	0.59	0.67	0.56	0.63
46	0.725	0.75	0.695	0.7375	0.6	0.64	0.56	0.62
47	0.705	0.72	0.665	0.7125	0.58	0.68	0.57	0.63
48	0.765	0.73	0.65	0.7475	0.72	0.73	0.63	0.725
49	0.725	0.75	0.72	0.7375	0.65	0.62	0.63	0.635
50	0.7	0.69	0.685	0.695	0.67	0.62	0.62	0.645
51	0.68	0.76	0.64	0.72	0.66	0.6	0.6	0.63
52	0.71	0.69	0.695	0.7	0.58	0.64	0.54	0.61
53	0.71	0.675	0.655	0.6925	0.61	0.73	0.6	0.67
54	0.69	0.745	0.67	0.7175	0.6	0.75	0.55	0.675
55	0.77	0.735	0.665	0.7525	0.63	0.57	0.62	0.6
56	0.68	0.685	0.705	0.6825	0.63	0.69	0.61	0.66
57	0.7	0.735	0.61	0.7175	0.64	0.67	0.64	0.655
58	0.76	0.75	0.695	0.755	0.65	0.62	0.63	0.635
59	0.69	0.735	0.69	0.7125	0.65	0.69	0.54	0.67
60	0.7	0.73	0.675	0.715	0.63	0.74	0.64	0.685
61	0.69	0.715	0.675	0.7025	0.61	0.61	0.53	0.61
62	0.695	0.73	0.685	0.7125	0.66	0.68	0.59	0.67
63	0.665	0.715	0.66	0.69	0.59	0.63	0.63	0.61
64	0.755	0.725	0.67	0.74	0.66	0.65	0.56	0.655
65	0.695	0.68	0.68	0.6875	0.65	0.62	0.58	0.635
66	0.675	0.68	0.63	0.6775	0.67	0.71	0.5	0.69
67	0.745	0.735	0.63	0.74	0.65	0.64	0.65	0.645
68	0.745	0.725	0.66	0.735	0.65	0.78	0.64	0.715
69	0.705	0.71	0.645	0.7075	0.67	0.68	0.72	0.675
70	0.715	0.725	0.68	0.72	0.59	0.65	0.71	0.62
71	0.705	0.665	0.685	0.685	0.66	0.69	0.6	0.675
72	0.73	0.775	0.645	0.7525	0.64	0.58	0.58	0.61
73	0.7	0.74	0.695	0.72	0.69	0.65	0.63	0.67
74	0.715	0.72	0.685	0.7175	0.59	0.73	0.68	0.66
75	0.685	0.71	0.65	0.6975	0.59	0.59	0.67	0.59
76	0.735	0.71	0.66	0.7225	0.55	0.57	0.51	0.56
77	0.735	0.705	0.655	0.72	0.65	0.71	0.5	0.68
78	0.705	0.705	0.655	0.705	0.63	0.62	0.6	0.625
79	0.725	0.71	0.655	0.7175	0.64	0.68	0.6	0.66
80	0.755	0.68	0.69	0.7175	0.67	0.57	0.64	0.62
81	0.715	0.735	0.69	0.725	0.55	0.6	0.6	0.575
82	0.715	0.75	0.685	0.7325	0.61	0.64	0.55	0.625
83	0.655	0.67	0.72	0.6625	0.63	0.65	0.54	0.64
84	0.72	0.745	0.64	0.7325	0.57	0.68	0.6	0.625
85	0.665	0.76	0.68	0.7125	0.59	0.62	0.6	0.605
86	0.74	0.755	0.685	0.7475	0.54	0.68	0.64	0.61
87	0.745	0.69	0.665	0.7175	0.57	0.61	0.59	0.59
88	0.685	0.705	0.66	0.695	0.55	0.67	0.61	0.61
89	0.685	0.735	0.655	0.71	0.59	0.62	0.59	0.605
90	0.7	0.74	0.7	0.72	0.58	0.55	0.63	0.565
91	0.76	0.7	0.69	0.73	0.56	0.72	0.57	0.64
92	0.68	0.79	0.715	0.735	0.56	0.58	0.6	0.57
93	0.68	0.7	0.7	0.69	0.6	0.62	0.57	0.61
94	0.71	0.73	0.64	0.72	0.63	0.63	0.57	0.63
95	0.715	0.68	0.705	0.6975	0.58	0.7	0.59	0.64
96	0.74	0.71	0.62	0.725	0.61	0.62	0.58	0.615
97	0.725	0.735	0.68	0.73	0.62	0.58	0.62	0.6
98	0.7	0.7	0.66	0.7	0.65	0.67	0.69	0.66
99	0.695	0.685	0.685	0.69	0.59	0.63	0.6	0.61
100	0.69	0.7	0.685	0.695	0.61	0.56	0.58	0.585
101	0.71	0.72	0.66	0.715	0.53	0.59	0.62	0.56
102	0.71	0.67	0.69	0.69	0.61	0.57	0.6	0.59
103	0.705	0.75	0.655	0.7275	0.6	0.63	0.54	0.615
104	0.74	0.7	0.725	0.72	0.61	0.62	0.64	0.615
105	0.66	0.73	0.72	0.695	0.53	0.65	0.6	0.59
106	0.71	0.675	0.685	0.6925	0.56	0.55	0.53	0.555
107	0.68	0.72	0.65	0.7	0.57	0.61	0.56	0.59
108	0.74	0.695	0.66	0.7175	0.6	0.57	0.66	0.585
109	0.69	0.705	0.715	0.6975	0.65	0.62	0.6	0.635
110	0.72	0.685	0.68	0.7025	0.56	0.63	0.63	0.595
111	0.645	0.745	0.675	0.695	0.6	0.6	0.59	0.6
112	0.78	0.755	0.66	0.7675	0.63	0.61	0.61	0.62
113	0.73	0.715	0.695	0.7225	0.57	0.68	0.57	0.625
114	0.725	0.695	0.62	0.71	0.51	0.62	0.56	0.565
115	0.7	0.71	0.655	0.705	0.66	0.64	0.53	0.65
116	0.71	0.71	0.64	0.71	0.6	0.62	0.55	0.61
117	0.705	0.75	0.71	0.7275	0.53	0.67	0.52	0.6
118	0.72	0.665	0.645	0.6925	0.55	0.58	0.5	0.565
119	0.685	0.655	0.655	0.67	0.57	0.58	0.54	0.575
120	0.7	0.725	0.64	0.7125	0.57	0.65	0.52	0.61
121	0.7	0.675	0.645	0.6875	0.52	0.54	0.65	0.53
122	0.725	0.735	0.64	0.73	0.58	0.63	0.53	0.605
123	0.74	0.71	0.74	0.725	0.56	0.66	0.6	0.61
124	0.75	0.725	0.71	0.7375	0.62	0.67	0.54	0.645
125	0.69	0.685	0.7	0.6875	0.65	0.54	0.69	0.595
126	0.715	0.72	0.645	0.7175	0.57	0.61	0.5	0.59
127	0.695	0.695	0.67	0.695	0.58	0.56	0.43	0.57
128	0.74	0.735	0.605	0.7375	0.51	0.61	0.53	0.56
129	0.675	0.73	0.67	0.7025	0.59	0.6	0.51	0.595
130	0.665	0.715	0.67	0.69	0.62	0.62	0.5	0.62
131	0.7	0.64	0.675	0.67	0.49	0.57	0.61	0.53
132	0.735	0.75	0.67	0.7425	0.49	0.64	0.51	0.565
