total_rounds,total_agents,final_cooperation_rate,strategy_cooperation_rates,strategy_average_scores,average_final_q_cooperate,average_final_q_defect,scenario_name
500,300,0.06,{'q_learning': np.float64(0.06)},{'q_learning': np.float64(399.64540229885023)},3.3285728333257287,4.8861578306478295,Baseline_QL_BasicState
500,300,0.5033333333333333,{'q_learning': np.float64(0.5033333333333333)},{'q_learning': np.float64(339.5675862068967)},1.5350665672280486,2.7771353144853856,Baseline_QL_PropDiscr
500,300,0.06,{'lra_q': np.float64(0.06)},{'lra_q': np.float64(477.76666666666597)},4.229367505513321,5.115656069671121,LRAQ_State_Basic
500,300,0.12,{'lra_q': np.float64(0.12)},{'lra_q': np.float64(420.7058620689647)},2.980836274146632,5.599024660386724,LRAQ_State_PropDiscr
500,300,0.17666666666666667,{'lra_q': np.float64(0.17666666666666667)},{'lra_q': np.float64(416.9710344827579)},2.9212132003252163,5.358567402511885,LRAQ_State_Count
500,300,0.36,{'lra_q': np.float64(0.36)},{'lra_q': np.float64(378.1867816091952)},2.5972136964212997,4.594552911123776,LRAQ_State_MemEnhanced
500,300,0.2,{'lra_q': np.float64(0.2)},{'lra_q': np.float64(414.1308045977004)},2.9727147111771215,5.206121757432829,LRAQ_MemEnh_Len_1
500,300,0.36,{'lra_q': np.float64(0.36)},{'lra_q': np.float64(378.1867816091952)},2.5972136964212997,4.594552911123776,LRAQ_MemEnh_Len_5
500,300,0.36,{'lra_q': np.float64(0.36)},{'lra_q': np.float64(378.1867816091952)},2.5972136964212997,4.594552911123776,LRAQ_MemEnh_Len_20
500,300,0.0,{'ucb1_q': np.float64(0.0)},{'ucb1_q': np.float64(494.2451724137931)},0.08106962765302873,2.5706723480406306,UCB1_ZeroInit
500,300,0.0,{'ucb1_q': np.float64(0.0)},{'ucb1_q': np.float64(494.2451724137931)},0.08106962765302873,2.5706723480406306,UCB1_OptimisticInit
500,300,0.38,"{'lra_q': np.float64(0.15333333333333332), 'q_learning': np.float64(0.6066666666666667)}","{'lra_q': np.float64(1227.9942528735621), 'q_learning': np.float64(897.5066666666675)}",9.329453985683362,9.867590482854688,LRA_vs_Standard_QL
500,300,0.6066666666666667,"{'lra_q': np.float64(0.31333333333333335), 'tit_for_two_tats': np.float64(0.9)}","{'lra_q': np.float64(405.8411494252871), 'tit_for_two_tats': np.float64(214.76229885057566)}",2.8410809922717224,4.735511564823366,TF2T_vs_LRAQ_Mem5
500,300,0.6133333333333333,"{'hysteretic_q': np.float64(0.54), 'tit_for_tat': np.float64(0.6866666666666666)}","{'hysteretic_q': np.float64(333.12827586206924), 'tit_for_tat': np.float64(310.81655172413844)}",1.510412919199294,2.745732368835379,Hysteretic_QL_Enhanced
500,300,0.6333333333333333,"{'wolf_phc': np.float64(0.705), 'q_learning': np.float64(0.49)}","{'wolf_phc': np.float64(307.9479310344831), 'q_learning': np.float64(359.48137931034483)}",1.110013305245911,1.960262174418395,WolfPHC_SmallWorld
500,300,0.023333333333333334,"{'ucb1_q': np.float64(0.0), 'q_learning': np.float64(0.07)}","{'ucb1_q': np.float64(501.83620689655146), 'q_learning': np.float64(433.47344827586204)}",0.6418032681912691,2.802214891108096,UCB1_ScaleFree
500,300,0.15333333333333332,"{'lra_q': np.float64(0.12666666666666668), 'tit_for_tat': np.float64(0.18)}","{'lra_q': np.float64(418.51931034482686), 'tit_for_tat': np.float64(416.05218390804544)}",3.074549241446654,5.618907511118188,NetworkRewiring_Test
500,300,0.4666666666666667,"{'lra_q': np.float64(0.04), 'q_learning': np.float64(0.8933333333333333)}","{'lra_q': np.float64(1630.5079243933592), 'q_learning': np.float64(1321.873277650066)}",15.639771934275002,12.63024953523162,GlobalBonus_Test
500,400,0.845,"{'lra_q': np.float64(0.78), 'hysteretic_q': np.float64(0.9466666666666667), 'tit_for_tat': np.float64(0.79)}","{'lra_q': np.float64(896.7518957264956), 'hysteretic_q': np.float64(900.7835677350429), 'tit_for_tat': np.float64(904.3267955128206)}",8.713796978338623,6.027457136211495,Combined_Enhancements
500,300,0.36,{'lra_q': np.float64(0.36)},{'lra_q': np.float64(378.1867816091952)},2.5972136964212997,4.594552911123776,Memory_Comparison
