learning_rate,alpha_win,alpha_lose,alpha_avg,epsilon,discount_factor,avg_final_coop_rate_overall,std_final_coop_rate_overall,avg_avg_final_score_target,std_avg_final_score_target
0.1,0.01,0.1,0.01,0.1,0.9,0.8666666666666666,0.10327955589886446,178.44229885057487,12.536287809233501
0.1,0.05,0.2,0.01,0.1,0.9,0.8,0.0632455532033676,180.73609195402324,10.209101077037186
0.1,0.01,0.2,0.01,0.1,0.9,0.7866666666666667,0.02666666666666666,182.76735632183926,14.849116856665614
0.1,0.01,0.4,0.01,0.1,0.9,0.7533333333333333,0.12927146286443544,170.72045977011513,20.235756598285004
0.1,0.05,0.1,0.01,0.1,0.9,0.6733333333333333,0.11430952132988165,187.54574712643705,12.909173130181799
0.1,0.1,0.1,0.01,0.1,0.9,0.6599999999999999,0.1339983416149452,187.7167816091956,17.41745721626914
0.1,0.05,0.4,0.01,0.1,0.9,0.6266666666666667,0.07717224601860148,190.2441379310347,5.533520313541573
0.1,0.1,0.4,0.01,0.1,0.9,0.5733333333333333,0.08537498983243796,202.4510344827589,11.349464018987817
0.1,0.1,0.2,0.01,0.1,0.9,0.5666666666666667,0.21186998109427607,194.2363218390807,18.06131658757847
0.1,0.01,0.1,0.01,0.2,0.9,0.5466666666666666,0.10873004286866725,222.92505747126467,4.629074932832944
0.1,0.01,0.2,0.01,0.2,0.9,0.48666666666666664,0.12754084313139324,230.8234482758623,4.549818572442836
0.1,0.05,0.4,0.01,0.2,0.9,0.4066666666666666,0.16519348924485158,235.3590804597703,11.30529411572021
0.1,0.05,0.2,0.01,0.2,0.9,0.35333333333333333,0.06863753427324668,233.75724137931053,5.176900347921821
0.1,0.01,0.4,0.01,0.2,0.9,0.28,0.05811865258054231,243.04275862068985,7.662585841151904
0.1,0.05,0.1,0.01,0.2,0.9,0.25333333333333335,0.11469767022723502,242.4822988505749,11.286365609540338
0.1,0.1,0.1,0.01,0.2,0.9,0.21999999999999997,0.07774602526460399,241.121379310345,9.742891554542313
0.1,0.1,0.2,0.01,0.2,0.9,0.14666666666666667,0.07180219742846006,248.03448275862087,8.084132060680796
0.1,0.1,0.4,0.01,0.2,0.9,0.13333333333333333,0.08432740427115679,250.87356321839098,2.948296430660254
