scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,0,hysteretic_q,1441.6896551724215,"{'avg_cooperate': 4.658719530594741, 'avg_defect': 5.911419436433363}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 12.886775317841952, 'defect': 9.198874645998504}, (0.4,): {'cooperate': 1.027314308425031, 'defect': 8.535383663301584}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,1,hysteretic_q,1330.8620689655272,"{'avg_cooperate': 5.9215002988132674, 'avg_defect': 3.1534221663068216}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 12.879078266645633, 'defect': 8.25904285954674}, (0.4,): {'cooperate': 4.823353664276927, 'defect': 1.2012236393737252}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,2,hysteretic_q,1320.3793103448381,"{'avg_cooperate': 6.040947125300517, 'avg_defect': 2.3606807069754945}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 12.877107877719556, 'defect': 6.604935212078314}, (0.4,): {'cooperate': 5.183664532664752, 'defect': 0.47710690884816914}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,3,hysteretic_q,1314.0344827586307,"{'avg_cooperate': 6.00957600393154, 'avg_defect': 2.178739203005317}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 12.88493218078007, 'defect': 6.334992088746859}, (0.4,): {'cooperate': 5.08172686549731, 'defect': 0.2012255202690923}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,4,hysteretic_q,1335.379310344838,"{'avg_cooperate': 5.916542544899392, 'avg_defect': 3.431032881124185}","{'initial': {'cooperate': 0.0, 'defect': 0.1396551724137931}, (0.6,): {'cooperate': 12.881618780574735, 'defect': 8.7562368435781}, (0.4,): {'cooperate': 4.868008854123441, 'defect': 1.3972066273806618}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,5,wolf_phc,1334.034482758631,"{'avg_cooperate': 5.792956734660902, 'avg_defect': 3.213075699833404}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 12.580922336761564, 'defect': 8.871151534902232}, (0.4,): {'cooperate': 4.7358789017039005, 'defect': 0.7680755645979812}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,6,wolf_phc,1346.3793103448384,"{'avg_cooperate': 5.8178437988789815, 'avg_defect': 3.7266043490126997}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 12.582809911230619, 'defect': 10.059943134204433}, (0.4,): {'cooperate': 4.808652519889082, 'defect': 1.1198699128336669}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,7,wolf_phc,1520.1724137930998,"{'avg_cooperate': 5.988872899671786, 'avg_defect': 6.647765234041882}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 14.432236533488858, 'defect': 19.943295702125646}, (0.4,): {'cooperate': 3.4723132000092556, 'defect': 0.0}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,8,wolf_phc,1325.0344827586314,"{'avg_cooperate': 5.7875793321972795, 'avg_defect': 3.1828164667068806}","{'initial': {'cooperate': 0.0, 'defect': 0.1396551724137931}, (0.6,): {'cooperate': 12.246720393988761, 'defect': 9.178418611534717}, (0.4,): {'cooperate': 5.116017602603076, 'defect': 0.2303756161721319}}"
5xHysQ_vs_5xwolf_phc_vs_5xlraQ_vs_15xalways_defect_FullyConnected,6,9,wolf_phc,1326.6206896551832,"{'avg_cooperate': 5.850021702439652, 'avg_defect': 2.8987201293565548}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 12.413854738015345, 'defect': 8.070622644206281}, (0.4,): {'cooperate': 5.074141403786371, 'defect': 0.6255377438633832}}"
