scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
ChrisTesting,18,0,hysteretic_q,246.79310344827726,"{'avg_cooperate': 1.3072694298297085, 'avg_defect': 0.3484030053355389}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 3.938775940553147, 'defect': 1.4844650432360733}, (0.8,): {'cooperate': 2.2994454526052976, 'defect': 0.16618371871116833}, (0.6,): {'cooperate': 0.2515740318521673, 'defect': 0.09136626473045306}, (0.4,): {'cooperate': 0.025862068965517244, 'defect': 0.0}}"
ChrisTesting,18,1,hysteretic_q,186.482758620691,"{'avg_cooperate': 0.7149204511130878, 'avg_defect': 0.7429023149314451}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (1.0,): {'cooperate': 2.0896969356814683, 'defect': 0.6544521831805585}, (0.6,): {'cooperate': 0.1518536934275025, 'defect': 2.4480407533812443}, (0.8,): {'cooperate': 1.261229693906899, 'defect': 0.27296290245237}, (0.4,): {'cooperate': 0.061477104963362075, 'defect': 0.33905573564305247}}"
ChrisTesting,18,2,hysteretic_q,292.24137931034585,"{'avg_cooperate': 1.2987100258173756, 'avg_defect': 0.3847123451594183}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 5.096850818342361, 'defect': 1.7906265868143467}, (0.8,): {'cooperate': 1.1429691309038463, 'defect': 0.132935138982745}, (0.6,): {'cooperate': 0.20717845570274074, 'defect': 0.0}, (0.4,): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
ChrisTesting,18,3,hysteretic_q,347.7586206896556,"{'avg_cooperate': 0.7189314593140694, 'avg_defect': 1.4671874594911054}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1.0,): {'cooperate': 0.5619824251414126, 'defect': 8.083755975863802}, (0.8,): {'cooperate': 2.109577767000154, 'defect': 0.3697164528417039}, (0.4,): {'cooperate': 0.4993763935476046, 'defect': 0.07272277180326303}, (0.2,): {'cooperate': 0.041198663793103454, 'defect': 0.0}, (0.6,): {'cooperate': 1.0859362650228312, 'defect': 0.27692955643786255}}"
ChrisTesting,18,4,hysteretic_q,225.03448275862203,"{'avg_cooperate': 1.1478992481584813, 'avg_defect': 0.3612989516701001}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 2.0031656035355327, 'defect': 0.5823434154539323}, (0.8,): {'cooperate': 2.7498164016044897, 'defect': 1.2546126417292949}, (0.6,): {'cooperate': 1.7144819391189872, 'defect': 0.3308376528373732}, (0.4,): {'cooperate': 0.34775025158842987, 'defect': 0.0}, (0.2,): {'cooperate': 0.04631922413793104, 'defect': 0.0}}"
ChrisTesting,18,5,tit_for_tat,272.827586206897,,
ChrisTesting,18,6,tit_for_tat,267.27586206896757,,
ChrisTesting,18,7,tit_for_tat,417.0000000000001,,
ChrisTesting,18,8,tit_for_tat,400.5172413793101,,
ChrisTesting,18,9,tit_for_tat,374.41379310344837,,
ChrisTesting,18,10,lra_q,478.999999999999,"{'avg_cooperate': 3.989535204256643, 'avg_defect': 5.006767763102515}","{'initial': {'cooperate': 0.07758620689655174, 'defect': 0.0}, (1.0,): {'cooperate': 3.059462132987636, 'defect': 0.0}, (0.8,): {'cooperate': 10.260826219158076, 'defect': 12.41623571312082}, (0.6,): {'cooperate': 6.877328805089692, 'defect': 9.964437587759145}, (0.4,): {'cooperate': 2.8065550796839123, 'defect': 7.436597157537616}, (0.2,): {'cooperate': 0.8554527817239856, 'defect': 0.22333612019751098}}"
ChrisTesting,18,11,lra_q,352.9999999999999,"{'avg_cooperate': 3.1256868849033186, 'avg_defect': 5.090334901305758}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 2.423900358798159, 'defect': 0.6938603474361992}, (0.8,): {'cooperate': 5.718725472518182, 'defect': 11.84920182421627}, (0.6,): {'cooperate': 2.0392937433302025, 'defect': 0.36966895136119954}, (0.4,): {'cooperate': 6.816531091023681, 'defect': 11.465085233188496}, (0.2,): {'cooperate': 1.6936016782324481, 'defect': 6.164193051632381}}"
