scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
ChrisTesting3AgentsTrialsNo016,8,0,q_learning,1427.1724137931005,"{'avg_cooperate': 7.675992933868, 'avg_defect': 3.335341608076373}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.278284619469428, 'defect': 12.498286455345717}, (0.8,): {'cooperate': 4.3958964523673725, 'defect': 0.6589701851839133}, (0.6,): {'cooperate': 0.8849630774283009, 'defect': 0.18410979177586206}}"
ChrisTesting3AgentsTrialsNo016,8,1,q_learning,1443.2068965517208,"{'avg_cooperate': 7.689829003635714, 'avg_defect': 4.463982031988687}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.157256194107006, 'defect': 17.099172597022868}, (0.8,): {'cooperate': 4.567045789581873, 'defect': 0.75675553093188}, (0.6,): {'cooperate': 0.8901864446470834, 'defect': 0.0}}"
ChrisTesting3AgentsTrialsNo016,8,2,q_learning,1494.4137931034443,"{'avg_cooperate': 7.023373157086154, 'avg_defect': 4.863774435765855}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.347447785627086, 'defect': 11.71330699721411}, (0.8,): {'cooperate': 1.8792549831368173, 'defect': 7.74179074584931}, (0.6,): {'cooperate': 0.7219622733738145, 'defect': 0.0}}"
ChrisTesting3AgentsTrialsNo016,8,3,q_learning,1445.1379310344796,"{'avg_cooperate': 7.603995118202573, 'avg_defect': 4.329235164163484}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.136243764716454, 'defect': 15.394819291796098}, (0.8,): {'cooperate': 4.3338474499242245, 'defect': 1.720578673764996}, (0.6,): {'cooperate': 0.8010616719627159, 'defect': 0.20154269109284484}}"
ChrisTesting3AgentsTrialsNo016,8,4,q_learning,1453.6551724137896,"{'avg_cooperate': 7.501403215770978, 'avg_defect': 4.37301994122382}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.159297360943008, 'defect': 15.20208138025373}, (0.8,): {'cooperate': 4.515694812485729, 'defect': 0.732215699808721}, (0.6,): {'cooperate': 0.18579310344827588, 'defect': 1.557782684832828}}"
ChrisTesting3AgentsTrialsNo016,8,5,q_learning,1441.7241379310315,"{'avg_cooperate': 7.684525357169636, 'avg_defect': 4.38550832388314}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.13688769773336, 'defect': 16.88558494361795}, (0.8,): {'cooperate': 4.566199700091204, 'defect': 0.46052240111701714}, (0.6,): {'cooperate': 0.8901864446470834, 'defect': 0.19592595079758945}}"
ChrisTesting3AgentsTrialsNo016,8,6,q_learning,1429.413793103445,"{'avg_cooperate': 7.7013947577798065, 'avg_defect': 3.64425056764234}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.240882583219665, 'defect': 13.73464368948526}, (0.8,): {'cooperate': 4.529785348080062, 'defect': 0.8423585810840986}, (0.6,): {'cooperate': 0.8900835136126006, 'defect': 0.0}}"
ChrisTesting3AgentsTrialsNo016,8,7,q_learning,1491.0344827586166,"{'avg_cooperate': 6.710269832043386, 'avg_defect': 4.015942490776664}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.428390735897516, 'defect': 7.579583447915092}, (0.8,): {'cooperate': 0.5458987326953149, 'defect': 8.484186515191562}, (0.6,): {'cooperate': 0.7219622733738145, 'defect': 0.0}}"
ChrisTesting3AgentsTrialsNo016,8,8,q_learning,1516.896551724134,"{'avg_cooperate': 6.607216494478859, 'avg_defect': 5.452997548330294}","{'initial': {'cooperate': 0.0, 'defect': 0.25}, (1.0,): {'cooperate': 25.289582041728863, 'defect': 12.53103333786471}, (0.8,): {'cooperate': 0.5720575509497603, 'defect': 8.683213949370257}, (0.6,): {'cooperate': 0.5672263852368103, 'defect': 0.34774290608620695}}"
ChrisTesting3AgentsTrialsNo016,8,9,q_learning,1435.6206896551691,"{'avg_cooperate': 7.710419230019439, 'avg_defect': 3.991500745146353}","{'initial': {'cooperate': 0.14482758620689656, 'defect': 0.0}, (1.0,): {'cooperate': 25.175453693952544, 'defect': 15.502560675305126}, (0.8,): {'cooperate': 4.651490066945542, 'defect': 0.26300272941821706}, (0.6,): {'cooperate': 0.8699055729727727, 'defect': 0.20043957586206895}}"
ChrisTesting3AgentsTrialsNo016,8,10,tit_for_tat,1451.7931034482722,,
ChrisTesting3AgentsTrialsNo016,8,11,tit_for_tat,1443.758620689652,,
ChrisTesting3AgentsTrialsNo016,8,12,tit_for_tat,1452.827586206893,,
ChrisTesting3AgentsTrialsNo016,8,13,tit_for_tat,1453.68965517241,,
ChrisTesting3AgentsTrialsNo016,8,14,tit_for_tat,1456.7586206896513,,
ChrisTesting3AgentsTrialsNo016,8,15,tit_for_tat,1429.1379310344794,,
ChrisTesting3AgentsTrialsNo016,8,16,tit_for_tat,1437.2413793103415,,
ChrisTesting3AgentsTrialsNo016,8,17,tit_for_tat,1459.5862068965478,,
ChrisTesting3AgentsTrialsNo016,8,18,tit_for_tat,1480.9655172413754,,
ChrisTesting3AgentsTrialsNo016,8,19,tit_for_tat,1457.344827586203,,
ChrisTesting3AgentsTrialsNo016,8,20,tit_for_tat,1457.034482758617,,
ChrisTesting3AgentsTrialsNo016,8,21,tit_for_tat,1457.586206896548,,
ChrisTesting3AgentsTrialsNo016,8,22,tit_for_tat,1459.3793103448238,,
ChrisTesting3AgentsTrialsNo016,8,23,tit_for_tat,1442.3103448275829,,
ChrisTesting3AgentsTrialsNo016,8,24,tit_for_tat,1461.7586206896515,,
ChrisTesting3AgentsTrialsNo016,8,25,tit_for_tat,1455.5862068965482,,
ChrisTesting3AgentsTrialsNo016,8,26,tit_for_tat,1459.482758620686,,
ChrisTesting3AgentsTrialsNo016,8,27,tit_for_tat,1452.5172413793066,,
ChrisTesting3AgentsTrialsNo016,8,28,tit_for_tat,1446.3103448275826,,
ChrisTesting3AgentsTrialsNo016,8,29,tit_for_tat,1441.5862068965484,,
