scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
ChrisTestingP,2,0,hysteretic_q,255.2413793103451,"{'avg_cooperate': 1.6287556911128664, 'avg_defect': 0.580608541274807}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 4.380712230821112, 'defect': 2.145770650300043}, (0.8,): {'cooperate': 1.7704770087453787, 'defect': 0.08666161448549758}, (0.6,): {'cooperate': 0.3431438697125609, 'defect': 0.09000190031368782}}"
ChrisTestingP,2,1,hysteretic_q,198.00000000000128,"{'avg_cooperate': 1.3527525294083977, 'avg_defect': 0.40368275243556334}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 2.75972600843332, 'defect': 1.0557742364856595}, (0.8,): {'cooperate': 2.121673756821164, 'defect': 0.5589567732565939}, (0.6,): {'cooperate': 0.5089206972066939, 'defect': 0.0}}"
ChrisTestingP,2,2,hysteretic_q,146.068965517242,"{'avg_cooperate': 0.9523068742164674, 'avg_defect': 0.2445233482462428}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1.0,): {'cooperate': 2.2560061957363478, 'defect': 0.7180308010725189}, (0.8,): {'cooperate': 1.4461133509261974, 'defect': 0.2600625919124523}, (0.4,): {'cooperate': 0.09159070882401427, 'defect': 0.0}}"
ChrisTestingP,2,3,hysteretic_q,117.4482758620697,"{'avg_cooperate': 0.5229090325499335, 'avg_defect': 0.32618883743029153}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (1.0,): {'cooperate': 1.8251201249174078, 'defect': 1.2377520995965319}, (0.6,): {'cooperate': 0.2252916087306021, 'defect': 0.06700325012463423}, (0.2,): {'cooperate': 0.03087956896551724, 'defect': 0.0}}"
ChrisTestingP,2,4,hysteretic_q,214.96551724138013,"{'avg_cooperate': 1.197412584858674, 'avg_defect': 0.33588484404705987}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 3.413829486144524, 'defect': 1.2949617975612089}, (0.8,): {'cooperate': 1.8786003772363145, 'defect': 0.27104527113992316}, (0.6,): {'cooperate': 0.6429865091883938, 'defect': 0.11341715153416738}, (0.4,): {'cooperate': 0.03095689655172414, 'defect': 0.0}}"
ChrisTestingP,2,5,tit_for_tat,263.5862068965537,,
ChrisTestingP,2,6,tit_for_tat,303.3103448275873,,
ChrisTestingP,2,7,tit_for_tat,314.7931034482766,,
ChrisTestingP,2,8,tit_for_tat,367.75862068965597,,
ChrisTestingP,2,9,tit_for_tat,388.86206896551755,,
ChrisTestingP,2,10,lra_q,402.48275862068937,"{'avg_cooperate': 3.597041739098257, 'avg_defect': 5.932368645953063}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 5.348565952332796, 'defect': 12.892794165337362}, (0.8,): {'cooperate': 11.20106489913953, 'defect': 12.876276873126164}, (0.6,): {'cooperate': 2.406482344064477, 'defect': 8.24148523289299}, (0.4,): {'cooperate': 2.176452312206442, 'defect': 1.5836556043618661}, (0.2,): {'cooperate': 0.3876159613290565, 'defect': 0.0}}"
ChrisTestingP,2,11,lra_q,388.586206896552,"{'avg_cooperate': 4.28925512164545, 'avg_defect': 5.593413494850093}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 13.038820289866196, 'defect': 13.600564075158884}, (0.8,): {'cooperate': 2.822964397172134, 'defect': 7.547782338317678}, (0.6,): {'cooperate': 7.007200358514381, 'defect': 12.140175536226236}, (0.4,): {'cooperate': 2.1536702821125076, 'defect': 0.0}, (0.2,): {'cooperate': 0.65080643669024, 'defect': 0.2719590193977614}}"
ChrisTestingP,2,12,lra_q,315.72413793103476,"{'avg_cooperate': 3.1884849681014162, 'avg_defect': 4.253071823611678}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 1.8402023519943866, 'defect': 0.0}, (0.8,): {'cooperate': 1.385363038910472, 'defect': 5.689028610796425}, (0.6,): {'cooperate': 10.765652904343208, 'defect': 12.42175550385943}, (0.4,): {'cooperate': 1.771708189501565, 'defect': 0.0}, (0.2,): {'cooperate': 3.3059143583416253, 'defect': 7.40764682701421}}"
ChrisTestingP,2,13,lra_q,472.5517241379296,"{'avg_cooperate': 3.6452101831879973, 'avg_defect': 4.766366160291066}","{'initial': {'cooperate': 0.07758620689655174, 'defect': 0.0}, (1.0,): {'cooperate': 7.142435496490019, 'defect': 10.116410114531059}, (0.8,): {'cooperate': 10.954055570352448, 'defect': 13.132592962786259}, (0.6,): {'cooperate': 2.6689550822191146, 'defect': 5.34919388442908}, (0.4,): {'cooperate': 0.9300381352808859, 'defect': 0.0}, (0.2,): {'cooperate': 0.09819060788896551, 'defect': 0.0}}"
ChrisTestingP,2,14,lra_q,419.93103448275855,"{'avg_cooperate': 3.890398771199504, 'avg_defect': 6.507513532319071}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 6.21773918440562, 'defect': 13.974824420419342}, (0.8,): {'cooperate': 8.855715468587853, 'defect': 12.612804326343305}, (0.6,): {'cooperate': 6.080923692027501, 'defect': 10.257056964119236}, (0.4,): {'cooperate': 2.076406569600796, 'defect': 0.5087249662359175}, (0.2,): {'cooperate': 0.04953874705801439, 'defect': 1.691670516796625}}"
ChrisTestingP,2,15,wolf_phc,168.31034482758767,"{'avg_cooperate': 0.9309241860939068, 'avg_defect': 0.31756079922909847}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 1.0549855518514597, 'defect': 0.17387409988730174}, (0.8,): {'cooperate': 2.2680425072988375, 'defect': 0.7776264083243765}, (0.6,): {'cooperate': 1.2747997678709602, 'defect': 0.3676794682274132}, (0.4,): {'cooperate': 0.036103448275862066, 'defect': 0.2686240197064009}}"
ChrisTestingP,2,16,wolf_phc,216.96551724138106,"{'avg_cooperate': 1.4267983360380265, 'avg_defect': 0.5430313770922675}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 2.8317741055708843, 'defect': 1.5049914362248225}, (0.8,): {'cooperate': 2.2773952540797406, 'defect': 0.6671340721442475}, (0.6,): {'cooperate': 0.5721619155359642, 'defect': 0.0}}"
ChrisTestingP,2,17,wolf_phc,194.17241379310502,"{'avg_cooperate': 1.2085526105278221, 'avg_defect': 0.5048536750728158}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 2.8026142060976076, 'defect': 1.6809329343022663}, (0.8,): {'cooperate': 1.659657352664082, 'defect': 0.3384817659889966}, (0.6,): {'cooperate': 0.3512492281771852, 'defect': 0.0}}"
