scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Evo_1744558678_9378,9,0,tit_for_two_tats,155.99999999999994,,
Evo_1744558678_9378,9,1,tit_for_two_tats,147.89473684210526,,
Evo_1744558678_9378,9,2,ucb1_q,213.6842105263158,"{'avg_cooperate': -0.00032843537416759813, 'avg_defect': 0.7193750082649172}","{'initial': {'cooperate': 0.0, 'defect': 0.14473684210526314}, (0, 1, 2): {'cooperate': 0.013157894736842103, 'defect': 0.11375}, (1, 0, 1): {'cooperate': 0.009903481929136704, 'defect': 0.47742015865004106}, (1, 1, 1): {'cooperate': 0.018557709840460512, 'defect': 0.3184603674342105}, (1, 1, 2): {'cooperate': -0.007894736842105265, 'defect': 0.0}, (0, 1, 0): {'cooperate': -0.030923860197368425, 'defect': 0.3759828832236842}, (0, 1, 1): {'cooperate': 0.027064996398692427, 'defect': 0.5671307941214276}, (0, 0, 1): {'cooperate': 0.05707640760787337, 'defect': 1.739253390931445}, (1, 1, 0): {'cooperate': -0.04968498315296053, 'defect': 0.3823663819786184}, (0, 0, 0): {'cooperate': -0.01650007386731545, 'defect': 4.641158512354497}, (1, 0, 2): {'cooperate': 0.0, 'defect': 0.1236842105263158}, (1, 0, 0): {'cooperate': 0.003920872103618406, 'defect': 0.3758263029605262}, (0, 0, 2): {'cooperate': -0.028947368421052635, 'defect': 0.09210526315789475}}"
Evo_1744558678_9378,9,3,ucb1_q,188.52631578947364,"{'avg_cooperate': -0.021827551243781444, 'avg_defect': 0.7069091379133189}","{'initial': {'cooperate': -0.007894736842105265, 'defect': 0.0}, (1, 1, 1): {'cooperate': 0.012526084299416108, 'defect': 0.5936264291751143}, (0, 1, 1): {'cooperate': -0.05246080900949836, 'defect': 0.6522086601793369}, (1, 0, 2): {'cooperate': 0.0, 'defect': 0.09210526315789475}, (0, 0, 0): {'cooperate': 0.028811996184414282, 'defect': 4.529523881275098}, (0, 0, 1): {'cooperate': -0.003207080656362323, 'defect': 1.2270367132580888}, (1, 0, 1): {'cooperate': -0.030357404225328954, 'defect': 0.4830824723517187}, (1, 1, 0): {'cooperate': -0.01842105263157895, 'defect': 0.12069736842105262}, (1, 1, 2): {'cooperate': -0.007894736842105265, 'defect': 0.0}, (1, 0, 0): {'cooperate': -0.08014757755584703, 'defect': 0.35153010228790293}, (0, 1, 0): {'cooperate': -0.09499056080427631, 'defect': 0.3515198174851973}, (0, 0, 2): {'cooperate': -0.007894736842105265, 'defect': 0.08157894736842106}}"
Evo_1744558678_9378,9,4,ucb1_q,175.26315789473682,"{'avg_cooperate': -0.03985403994203247, 'avg_defect': 0.6147961665830793}","{'initial': {'cooperate': 0.0026315789473684184, 'defect': 0.0}, (1, 1, 2): {'cooperate': -0.015223684210526318, 'defect': 0.07105263157894737}, (0, 1, 0): {'cooperate': -0.10061566113322369, 'defect': 0.3409408701167762}, (1, 0, 1): {'cooperate': -0.09793687931484374, 'defect': 0.5518780969173944}, (0, 1, 1): {'cooperate': -0.0007541927300757794, 'defect': 0.4689705374704535}, (1, 1, 0): {'cooperate': -0.06097376965453126, 'defect': 0.3515824693997451}, (1, 1, 1): {'cooperate': -0.03287217105263158, 'defect': 0.2747791447368421}, (0, 1, 2): {'cooperate': 0.0, 'defect': 0.060526315789473685}, (0, 0, 0): {'cooperate': -0.03186306636592014, 'defect': 4.714785102148399}, (1, 0, 0): {'cooperate': -0.08557135159375, 'defect': 0.3408363951167763}, (0, 0, 1): {'cooperate': -0.05679970371723533, 'defect': 0.5621433391473291}, (0, 0, 2): {'cooperate': -0.038123618421052635, 'defect': 0.1732763157894737}, (1, 0, 2): {'cooperate': 0.0, 'defect': 0.08157894736842106}}"
Evo_1744558678_9378,9,5,ucb1_q,196.1052631578948,"{'avg_cooperate': -0.014436403542273678, 'avg_defect': 0.6709118285679613}","{'initial': {'cooperate': 0.013157894736842103, 'defect': 0.0}, (1, 1, 2): {'cooperate': 0.013157894736842103, 'defect': 0.08217105263157895}, (0, 1, 1): {'cooperate': -0.01314818101236992, 'defect': 0.7137610093334007}, (0, 0, 1): {'cooperate': 0.04207091051232631, 'defect': 1.4074728590314969}, (1, 0, 1): {'cooperate': 0.0015421679477220299, 'defect': 0.5935099586348282}, (1, 1, 0): {'cooperate': -0.0501283552631579, 'defect': 0.20135782894736842}, (1, 1, 1): {'cooperate': -0.01659290981085527, 'defect': 0.35519314638157895}, (0, 1, 0): {'cooperate': -0.0327408552631579, 'defect': 0.24330519736842102}, (0, 1, 2): {'cooperate': 0.0, 'defect': 0.1236842105263158}, (0, 0, 2): {'cooperate': 0.008197368421052629, 'defect': 0.1236842105263158}, (1, 0, 2): {'cooperate': 0.0, 'defect': 0.09210526315789475}, (0, 0, 0): {'cooperate': -0.07670963401532833, 'defect': 4.573410153265351}, (1, 0, 0): {'cooperate': -0.07647954703947368, 'defect': 0.21219888157894737}}"
Evo_1744558678_9378,9,6,ucb1_q,181.8947368421052,"{'avg_cooperate': -0.039583323233748066, 'avg_defect': 0.7420996231544248}","{'initial': {'cooperate': -0.01842105263157895, 'defect': 0.0}, (1, 1, 1): {'cooperate': -0.05284191940789474, 'defect': 0.29240314638157894}, (0, 1, 1): {'cooperate': -0.04761025456085526, 'defect': 0.5627128901217691}, (1, 0, 1): {'cooperate': -0.021229632509815147, 'defect': 0.6168242450271371}, (0, 1, 0): {'cooperate': -0.041919025986842114, 'defect': 0.28177209243421053}, (0, 0, 2): {'cooperate': 0.0, 'defect': 0.09210526315789475}, (0, 0, 1): {'cooperate': -0.05598496025719096, 'defect': 1.3924018693007}, (0, 0, 0): {'cooperate': -0.08570727600652531, 'defect': 4.592085361433277}, (1, 1, 2): {'cooperate': -0.007894736842105265, 'defect': 0.0}, (1, 0, 0): {'cooperate': -0.036276315789473684, 'defect': 0.12069736842105262}, (1, 1, 0): {'cooperate': -0.06753138157894736, 'defect': 0.21209361842105262}}"
Evo_1744558678_9378,9,7,ucb1_q,185.26315789473682,"{'avg_cooperate': -0.025890732466853753, 'avg_defect': 0.6260528807998846}","{'initial': {'cooperate': 0.0, 'defect': 0.1236842105263158}, (0, 1, 2): {'cooperate': 0.012934315460526312, 'defect': 0.17339414473684212}, (1, 0, 2): {'cooperate': -0.037649934210526315, 'defect': 0.18380263157894736}, (1, 1, 0): {'cooperate': -0.027078741356907902, 'defect': 0.2929335209786184}, (1, 1, 2): {'cooperate': -0.025750000000000002, 'defect': 0.16280263157894737}, (0, 1, 0): {'cooperate': -0.06592875625000001, 'defect': 0.41472641220230255}, (0, 0, 0): {'cooperate': -0.07636341530819554, 'defect': 4.808802108421804}, (1, 0, 1): {'cooperate': -0.0036880321858552756, 'defect': 0.4138908674851973}, (1, 1, 1): {'cooperate': -0.01962342269736842, 'defect': 0.24410139638157893}, (0, 1, 1): {'cooperate': -0.0183302782319079, 'defect': 0.3131931463815789}, (0, 0, 1): {'cooperate': -0.009228551038863792, 'defect': 0.7556835511789993}, (1, 0, 0): {'cooperate': -0.06587270625, 'defect': 0.18062019736842105}, (0, 0, 2): {'cooperate': 0.0, 'defect': 0.07105263157894737}}"
Evo_1744558678_9378,9,8,ucb1_q,236.21052631578948,"{'avg_cooperate': 0.033671183834354336, 'avg_defect': 0.8051888066398724}","{'initial': {'cooperate': 0.0, 'defect': 0.14473684210526314}, (0, 1, 2): {'cooperate': 0.049828947368421056, 'defect': 0.11315789473684211}, (0, 0, 1): {'cooperate': 0.14606333207167646, 'defect': 1.7681861841685558}, (1, 0, 1): {'cooperate': 0.08979749912025492, 'defect': 0.6970003774825925}, (0, 1, 1): {'cooperate': 0.060331208939144725, 'defect': 0.6244638679897628}, (0, 0, 0): {'cooperate': -0.03745894434744245, 'defect': 4.9961757728806395}, (1, 1, 1): {'cooperate': 0.05145948292598683, 'defect': 0.5192554913016529}, (0, 0, 2): {'cooperate': 0.013157894736842103, 'defect': 0.0}, (1, 0, 2): {'cooperate': 0.0026315789473684184, 'defect': 0.23639414473684212}, (0, 1, 0): {'cooperate': 0.043940574671052626, 'defect': 0.31846089375}, (1, 0, 0): {'cooperate': -0.015697368421052633, 'defect': 0.17338157894736841}, (1, 1, 0): {'cooperate': 0.0, 'defect': 0.07105263157894737}}"
Evo_1744558678_9378,9,9,ucb1_q,191.78947368421058,"{'avg_cooperate': -0.015576405185326561, 'avg_defect': 0.7010838070388247}","{'initial': {'cooperate': -0.007894736842105265, 'defect': 0.0}, (1, 1, 1): {'cooperate': 0.04384518453947368, 'defect': 0.2853578289473684}, (0, 1, 1): {'cooperate': -0.01699508491951481, 'defect': 0.7133998977537308}, (0, 0, 2): {'cooperate': 0.0026315789473684184, 'defect': 0.0}, (1, 0, 1): {'cooperate': -0.056037909810855255, 'defect': 0.3825221806496711}, (1, 1, 0): {'cooperate': -0.04231875888157895, 'defect': 0.313349991118421}, (0, 1, 0): {'cooperate': 0.005305929097039466, 'defect': 0.33446664472203946}, (1, 0, 2): {'cooperate': 0.0, 'defect': 0.07105263157894737}, (0, 0, 0): {'cooperate': -0.04041039717806832, 'defect': 4.737131374306114}, (0, 0, 1): {'cooperate': -0.029579332700348737, 'defect': 1.0788864640080253}, (1, 0, 0): {'cooperate': -0.030713334475328962, 'defect': 0.34461498717105254}, (1, 1, 2): {'cooperate': -0.014750000000000003, 'defect': 0.15222368421052632}}"
