scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Evolution_Of_Trust_Simulation,3,0,always_cooperate,20700,,
Evolution_Of_Trust_Simulation,3,1,always_cooperate,20700,,
Evolution_Of_Trust_Simulation,3,2,always_cooperate,20700,,
Evolution_Of_Trust_Simulation,3,3,always_cooperate,20700,,
Evolution_Of_Trust_Simulation,3,4,always_cooperate,20700,,
Evolution_Of_Trust_Simulation,3,5,always_cooperate,20700,,
Evolution_Of_Trust_Simulation,3,6,always_defect,37500,,
Evolution_Of_Trust_Simulation,3,7,always_defect,37500,,
Evolution_Of_Trust_Simulation,3,8,always_defect,37500,,
Evolution_Of_Trust_Simulation,3,9,always_defect,37500,,
Evolution_Of_Trust_Simulation,3,10,always_defect,37500,,
Evolution_Of_Trust_Simulation,3,11,always_defect,37500,,
Evolution_Of_Trust_Simulation,3,12,tit_for_tat,20700,,
Evolution_Of_Trust_Simulation,3,13,tit_for_tat,20700,,
Evolution_Of_Trust_Simulation,3,14,tit_for_tat,20700,,
Evolution_Of_Trust_Simulation,3,15,tit_for_tat,20700,,
Evolution_Of_Trust_Simulation,3,16,tit_for_tat,20700,,
Evolution_Of_Trust_Simulation,3,17,tit_for_tat,20700,,
Evolution_Of_Trust_Simulation,3,18,tit_for_two_tats,20700,,
Evolution_Of_Trust_Simulation,3,19,tit_for_two_tats,20700,,
Evolution_Of_Trust_Simulation,3,20,tit_for_two_tats,20700,,
Evolution_Of_Trust_Simulation,3,21,tit_for_two_tats,20700,,
Evolution_Of_Trust_Simulation,3,22,tit_for_two_tats,20700,,
Evolution_Of_Trust_Simulation,3,23,tit_for_two_tats,20700,,
Evolution_Of_Trust_Simulation,3,24,pavlov,20700,,
Evolution_Of_Trust_Simulation,3,25,pavlov,20700,,
Evolution_Of_Trust_Simulation,3,26,pavlov,20700,,
Evolution_Of_Trust_Simulation,3,27,pavlov,20700,,
Evolution_Of_Trust_Simulation,3,28,pavlov,20700,,
Evolution_Of_Trust_Simulation,3,29,pavlov,20700,,
