scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Random_RandomProb,23,0,randomprob,521.2413793103461,,
Random_RandomProb,23,1,randomprob,726.4137931034489,,
Random_RandomProb,23,2,randomprob,439.2068965517252,,
Random_RandomProb,23,3,randomprob,464.7241379310353,,
Random_RandomProb,23,4,randomprob,572.862068965518,,
Random_RandomProb,23,5,randomprob,426.0344827586218,,
Random_RandomProb,23,6,randomprob,588.1379310344839,,
Random_RandomProb,23,7,randomprob,720.8275862068974,,
Random_RandomProb,23,8,randomprob,443.6206896551729,,
Random_RandomProb,23,9,randomprob,565.0689655172423,,
Random_RandomProb,23,10,randomprob,407.0689655172419,,
Random_RandomProb,23,11,randomprob,623.0689655172418,,
Random_RandomProb,23,12,randomprob,634.3103448275873,,
Random_RandomProb,23,13,randomprob,540.6206896551744,,
Random_RandomProb,23,14,randomprob,624.3448275862075,,
Random_RandomProb,23,15,q_learning,446.2068965517251,"{'avg_cooperate': 3.3648637111853703, 'avg_defect': 2.722409191998001}","{'initial': {'cooperate': 0.0, 'defect': 0.2517241379310345}, (1.0,): {'cooperate': 2.3230157146152703, 'defect': 1.652384759799763}, (0.8,): {'cooperate': 6.6175142660171495, 'defect': 5.843595387757263}, (0.6,): {'cooperate': 6.6707489286450645, 'defect': 5.643805757260564}, (0.4,): {'cooperate': 1.2130396466493687, 'defect': 0.22053591724137933}}"
Random_RandomProb,23,16,q_learning,478.6896551724141,"{'avg_cooperate': 3.8924914215355164, 'avg_defect': 2.8566163528853785}","{'initial': {'cooperate': 0.11379310344827585, 'defect': 0.0}, (1.0,): {'cooperate': 4.771203228685813, 'defect': 2.7391457712435052}, (0.6,): {'cooperate': 6.615318034008338, 'defect': 4.6124662738680415}, (0.8,): {'cooperate': 7.351410413532946, 'defect': 6.931469719315347}, (0.4,): {'cooperate': 0.6107323280022098, 'defect': 0.0}}"
Random_RandomProb,23,17,q_learning,723.0689655172431,"{'avg_cooperate': 4.8851398883219925, 'avg_defect': 5.600725424764743}","{'initial': {'cooperate': 0.07241379310344828, 'defect': 0.0}, (0.6,): {'cooperate': 6.636466624479492, 'defect': 5.777369711968782}, (0.8,): {'cooperate': 13.949601671517087, 'defect': 18.36638434413905}, (1.0,): {'cooperate': 3.7672173525099333, 'defect': 2.5345661261534698}, (0.4,): {'cooperate': 0.0, 'defect': 1.3253069415624141}}"
Random_RandomProb,23,18,q_learning,565.3103448275863,"{'avg_cooperate': 2.7744261930888254, 'avg_defect': 4.539467808296142}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.8,): {'cooperate': 6.291769280792181, 'defect': 12.115889924983637}, (1.0,): {'cooperate': 5.991558412675955, 'defect': 11.935121033744242}, (0.4,): {'cooperate': 1.1845848320769088, 'defect': 0.8346411592205163}, (0.6,): {'cooperate': 2.6741548265978228, 'defect': 2.3511547318284602}, (0.2,): {'cooperate': 0.46311049604525534, 'defect': 0.0}}"
Random_RandomProb,23,19,q_learning,488.13793103448415,"{'avg_cooperate': 3.0970539379051174, 'avg_defect': 3.8729078731778457}","{'initial': {'cooperate': 0.11379310344827585, 'defect': 0.0}, (1.0,): {'cooperate': 1.9509304759919752, 'defect': 7.066148174947434}, (0.6,): {'cooperate': 6.927931123582549, 'defect': 6.21282129272757}, (0.8,): {'cooperate': 5.913906947127026, 'defect': 5.85433950063181}, (0.4,): {'cooperate': 0.5787080393757615, 'defect': 0.23123039758241384}}"
