scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
UCB1_ZeroInit,17,0,ucb1_q,496.48275862068965,"{'avg_cooperate': 0.07550704692889657, 'avg_defect': 2.281044509577928}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.8,): {'cooperate': 0.04497827586206898, 'defect': 0.3786679310344828}, (0.4,): {'cooperate': 0.11486814827586209, 'defect': 0.8808145817384037}, (0.2,): {'cooperate': 0.1763095001617242, 'defect': 9.919291759254683}, (0.6,): {'cooperate': 0.0, 'defect': 0.226448275862069}}"
UCB1_ZeroInit,17,1,ucb1_q,509.1034482758621,"{'avg_cooperate': 0.15515059927870553, 'avg_defect': 2.6342179448780603}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 0.2736779201379311, 'defect': 1.5214993961862353}, (0.4,): {'cooperate': 0.26265261165517245, 'defect': 1.5697161592922182}, (0.8,): {'cooperate': 0.0, 'defect': 0.16896551724137931}, (0.2,): {'cooperate': 0.1773534990831828, 'defect': 9.910908651670468}}"
UCB1_ZeroInit,17,2,ucb1_q,500.41379310344826,"{'avg_cooperate': 0.08883175689655172, 'avg_defect': 2.0591326090280995}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.4,): {'cooperate': 0.19345705862068965, 'defect': 1.1799905228309497}, (0.8,): {'cooperate': 0.031034482758620693, 'defect': 0.1579655172413793}, (1.0,): {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.6,): {'cooperate': 0.17132053448275864, 'defect': 1.1040073067391711}, (0.2,): {'cooperate': 0.0751095, 'defect': 9.912832307357098}}"
UCB1_ZeroInit,17,3,ucb1_q,496.9655172413793,"{'avg_cooperate': 0.08393522048465518, 'avg_defect': 1.9355393689937825}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 0.020689655172413793, 'defect': 0.2281537931034483}, (0.4,): {'cooperate': 0.2269301093906897, 'defect': 0.9313261897058611}, (0.8,): {'cooperate': 0.06601384137931035, 'defect': 0.2967055172413794}, (0.6,): {'cooperate': 0.030931034482758624, 'defect': 0.24024137931034487}, (0.2,): {'cooperate': 0.10732254455172416, 'defect': 9.91680933460166}}"
UCB1_ZeroInit,17,4,ucb1_q,497.2758620689655,"{'avg_cooperate': 0.09191773818051725, 'avg_defect': 2.0018702393068835}","{'initial': {'cooperate': 0.0, 'defect': 0.16896551724137931}, (0.8,): {'cooperate': 0.0788662551724138, 'defect': 0.3245675862068965}, (0.4,): {'cooperate': 0.13684891882758624, 'defect': 1.1288322592298583}, (0.6,): {'cooperate': 0.10752332068965517, 'defect': 0.47529228620689656}, (1.0,): {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.2,): {'cooperate': 0.20757827922103453, 'defect': 9.913563786956269}}"
UCB1_ZeroInit,17,5,ucb1_q,493.37931034482756,"{'avg_cooperate': 0.05964291424653765, 'avg_defect': 2.390421221338147}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.4,): {'cooperate': 0.08029710000000001, 'defect': 1.4761787518923861}, (1.0,): {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.2,): {'cooperate': 0.12084366964648131, 'defect': 9.912075187694898}, (0.8,): {'cooperate': 0.08672897400000001, 'defect': 0.45005906365517256}}"
UCB1_ZeroInit,17,6,ucb1_q,492.1379310344828,"{'avg_cooperate': 0.07530276248234484, 'avg_defect': 2.2893932848122773}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (1.0,): {'cooperate': 0.011482758620689657, 'defect': 0.12758620689655173}, (0.8,): {'cooperate': 0.1039688379310345, 'defect': 0.5436359426551725}, (0.2,): {'cooperate': 0.12626932924034487, 'defect': 9.915798301866445}, (0.4,): {'cooperate': 0.13479288661965522, 'defect': 0.7185666622983897}}"
UCB1_ZeroInit,17,7,ucb1_q,490.65517241379314,"{'avg_cooperate': 0.10402364389738139, 'avg_defect': 2.3503095695229748}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.8,): {'cooperate': 0.08997021724137932, 'defect': 0.37908172413793106}, (0.6,): {'cooperate': 0.10765987241379311, 'defect': 0.5705379978275863}, (0.4,): {'cooperate': 0.15651309382035522, 'defect': 0.8910124442312544}, (0.2,): {'cooperate': 0.13494055325275867, 'defect': 9.910915681418103}}"
UCB1_ZeroInit,17,8,ucb1_q,493.37931034482756,"{'avg_cooperate': 0.0672641924571579, 'avg_defect': 2.8988942579148906}","{'initial': {'cooperate': 0.0, 'defect': 0.12758620689655173}, (1.0,): {'cooperate': 0.02977364482758621, 'defect': 0.3250963}, (0.6,): {'cooperate': 0.114000167401169, 'defect': 1.2270711793782874}, (0.2,): {'cooperate': 0.12528295759987637, 'defect': 9.915823345384723}}"
UCB1_ZeroInit,17,9,ucb1_q,492.0,"{'avg_cooperate': 0.07649049647485187, 'avg_defect': 2.8327887947161416}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.6,): {'cooperate': 0.13140480605078672, 'defect': 1.2018545816003565}, (1.0,): {'cooperate': 0.03766655172413794, 'defect': 0.21265517241379311}, (0.2,): {'cooperate': 0.1265458005382759, 'defect': 9.916645424850417}}"
