scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
UCB1_ScaleFree,4,0,ucb1_q,519.8620689655166,"{'avg_cooperate': 0.1716496409764707, 'avg_defect': 2.3070051818307977}","{'initial': {'cooperate': 0.0, 'defect': 0.22413793103448276}, (0.8,): {'cooperate': 0.26320401496034485, 'defect': 0.7783263539655172}, (0.4,): {'cooperate': 0.2507837359655173, 'defect': 2.320036664871803}, (1.0,): {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.6,): {'cooperate': 0.2379067137931035, 'defect': 0.47425965517241386}, (0.2,): {'cooperate': 0.24696889838123798, 'defect': 10.04527048594057}}"
UCB1_ScaleFree,4,1,ucb1_q,515.1379310344824,"{'avg_cooperate': 0.16788270382110987, 'avg_defect': 2.6969714221268783}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 0.24301292068965524, 'defect': 1.6456780601224854}, (0.8,): {'cooperate': 0.05172413793103449, 'defect': 0.15982758620689655}, (0.4,): {'cooperate': 0.2346184241379311, 'defect': 1.6967926939787443}, (0.2,): {'cooperate': 0.24798907082968724, 'defect': 9.982558770326266}}"
UCB1_ScaleFree,4,2,ucb1_q,492.8620689655172,"{'avg_cooperate': 0.07069628632622826, 'avg_defect': 3.638827601976274}","{'initial': {'cooperate': 0.0, 'defect': 0.0}, (0.2,): {'cooperate': 0.11513943234315718, 'defect': 9.921600280888804}, (1.0,): {'cooperate': 0.0969494266355276, 'defect': 0.9948825250400192}}"
UCB1_ScaleFree,4,3,ucb1_q,511.7241379310343,"{'avg_cooperate': 0.14455049364918832, 'avg_defect': 2.5799854222157115}","{'initial': {'cooperate': 0.0, 'defect': 0.18275862068965518}, (0.6,): {'cooperate': 0.21068190000000003, 'defect': 1.1289044021613228}, (0.8,): {'cooperate': 0.04624137931034483, 'defect': 0.16896551724137931}, (0.4,): {'cooperate': 0.17857581258620692, 'defect': 1.4382161221879757}, (0.2,): {'cooperate': 0.28725337634938974, 'defect': 9.981082448798226}}"
UCB1_ScaleFree,4,4,ucb1_q,514.8275862068962,"{'avg_cooperate': 0.12362913226035677, 'avg_defect': 2.843337328341154}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.4,): {'cooperate': 0.14766671379310348, 'defect': 3.152997569965118}, (0.8,): {'cooperate': 0.055344827586206895, 'defect': 0.15517241379310345}, (0.6,): {'cooperate': 0.1749743275862069, 'defect': 0.6511144118965518}, (0.2,): {'cooperate': 0.24015979233626655, 'defect': 10.116022935706168}}"
UCB1_ScaleFree,4,5,ucb1_q,491.8965517241379,"{'avg_cooperate': 0.07418483869502684, 'avg_defect': 2.7834534867065126}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.6,): {'cooperate': 0.12807525210323795, 'defect': 0.9037866361595637}, (0.2,): {'cooperate': 0.12978700957342118, 'defect': 9.91858618308028}, (1.0,): {'cooperate': 0.02853226551724139, 'defect': 0.31144112758620696}}"
UCB1_ScaleFree,4,6,ucb1_q,491.51724137931035,"{'avg_cooperate': 0.09039807639306416, 'avg_defect': 2.356631951471336}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.8,): {'cooperate': 0.12256593628738968, 'defect': 0.5580530216989656}, (0.4,): {'cooperate': 0.15542124290793108, 'defect': 1.1860520177070408}, (0.2,): {'cooperate': 0.15331354759758622, 'defect': 9.911468511054121}, (1.0,): {'cooperate': 0.0, 'defect': 0.12758620689655173}}"
UCB1_ScaleFree,4,7,ucb1_q,496.8620689655171,"{'avg_cooperate': 0.11065454989538796, 'avg_defect': 2.616472128866464}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.6,): {'cooperate': 0.1828736957638035, 'defect': 0.8530864696087347}, (0.4,): {'cooperate': 0.19004551312783452, 'defect': 4.084407561483919}, (1.0,): {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.8,): {'cooperate': 0.1742045921493104, 'defect': 0.7055318457113795}, (0.2,): {'cooperate': 0.09611384315896554, 'defect': 9.914427586049925}}"
UCB1_ScaleFree,4,8,ucb1_q,495.2758620689655,"{'avg_cooperate': 0.04789339452564052, 'avg_defect': 2.9596384626586056}","{'initial': {'cooperate': 0.0, 'defect': 0.1}, (0.2,): {'cooperate': 0.11472552730945863, 'defect': 9.914987397079498}, (0.6,): {'cooperate': 0.06660667148275863, 'defect': 1.6109112811411312}, (1.0,): {'cooperate': 0.010241379310344828, 'defect': 0.21265517241379311}}"
UCB1_ScaleFree,4,9,ucb1_q,509.6206896551719,"{'avg_cooperate': 0.13731088952914505, 'avg_defect': 3.0624171932573026}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.8,): {'cooperate': 0.17959639655172416, 'defect': 1.09049413460124}, (0.6,): {'cooperate': 0.2068221433583355, 'defect': 0.8833757638106556}, (0.4,): {'cooperate': 0.1660074310344828, 'defect': 3.1500631123888265}, (0.2,): {'cooperate': 0.13412847670118277, 'defect': 10.03298054169269}}"
