scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
UCB1_ZeroInit,6,0,ucb1_q,498.1379310344828,"{'avg_cooperate': 0.10194279064795242, 'avg_defect': 2.363324482820901}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.6,): {'cooperate': 0.12880896508862072, 'defect': 1.3358544792160596}, (0.2,): {'cooperate': 0.2022092536683828, 'defect': 9.916337717647068}, (1.0,): {'cooperate': 0.031034482758620693, 'defect': 0.11658620689655173}, (0.4,): {'cooperate': 0.11662676896551724, 'defect': 0.4478440103448276}}"
UCB1_ZeroInit,6,1,ucb1_q,497.8620689655172,"{'avg_cooperate': 0.10815324464178415, 'avg_defect': 2.3577531217339494}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.4,): {'cooperate': 0.19129246127817934, 'defect': 0.7221932581703173}, (0.6,): {'cooperate': 0.13362952758620694, 'defect': 1.036656401003806}, (0.2,): {'cooperate': 0.1951545791721207, 'defect': 9.91612284604735}, (0.8,): {'cooperate': 0.0, 'defect': 0.11379310344827587}}"
UCB1_ZeroInit,6,2,ucb1_q,496.8275862068965,"{'avg_cooperate': 0.13019793392954557, 'avg_defect': 2.33584847797143}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (0.8,): {'cooperate': 0.05286206896551724, 'defect': 0.12758620689655173}, (0.4,): {'cooperate': 0.21726835409275866, 'defect': 0.5971723979655174}, (0.6,): {'cooperate': 0.1465054034482759, 'defect': 1.0387939511167854}, (0.2,): {'cooperate': 0.18262970521014155, 'defect': 9.915689833878295}}"
UCB1_ZeroInit,6,3,ucb1_q,493.2068965517241,"{'avg_cooperate': 0.08240858414223495, 'avg_defect': 2.0753751652442687}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.6,): {'cooperate': 0.1818501123034579, 'defect': 1.1001848761896968}, (0.4,): {'cooperate': 0.15242707074517245, 'defect': 1.1906936409031597}, (0.2,): {'cooperate': 0.11879501145995174, 'defect': 9.906200060579652}, (0.8,): {'cooperate': 0.0, 'defect': 0.12758620689655173}}"
UCB1_ZeroInit,6,4,ucb1_q,500.8965517241379,"{'avg_cooperate': 0.1109272992397345, 'avg_defect': 2.55636325817932}","{'initial': {'cooperate': 0.0, 'defect': 0.16896551724137931}, (0.8,): {'cooperate': 0.055344827586206895, 'defect': 0.29500000000000004}, (0.6,): {'cooperate': 0.06339206896551725, 'defect': 0.3925989655172415}, (0.4,): {'cooperate': 0.2620682823693621, 'defect': 2.016549153738953}, (0.2,): {'cooperate': 0.17383131727758624, 'defect': 9.908702654399027}}"
UCB1_ZeroInit,6,5,ucb1_q,501.65517241379314,"{'avg_cooperate': 0.07309993607323623, 'avg_defect': 2.0709662596947824}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.6,): {'cooperate': 0.020689655172413793, 'defect': 0.26953310344827586}, (0.4,): {'cooperate': 0.1628860655172414, 'defect': 1.6712145202663031}, (0.8,): {'cooperate': 0.08275862068965517, 'defect': 0.30251172413793104}, (1.0,): {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.2,): {'cooperate': 0.17226527506010697, 'defect': 9.913572693074805}}"
UCB1_ZeroInit,6,6,ucb1_q,491.44827586206895,"{'avg_cooperate': 0.07099551237568966, 'avg_defect': 2.7333521663068296}","{'initial': {'cooperate': 0.0, 'defect': 0.0}, (0.2,): {'cooperate': 0.14512621324034483, 'defect': 9.919852435032023}, (0.6,): {'cooperate': 0.10093027074517244, 'defect': 0.7990576095056406}, (1.0,): {'cooperate': 0.03792556551724138, 'defect': 0.2144986206896552}}"
UCB1_ZeroInit,6,7,ucb1_q,493.55172413793105,"{'avg_cooperate': 0.057982696086995175, 'avg_defect': 2.3989155921619254}","{'initial': {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.8,): {'cooperate': 0.09865987241379312, 'defect': 0.35149551724137934}, (0.2,): {'cooperate': 0.0970690330901483, 'defect': 9.911964591281828}, (0.4,): {'cooperate': 0.08394319562068966, 'defect': 1.489738541941592}, (1.0,): {'cooperate': 0.010241379310344828, 'defect': 0.11379310344827587}}"
UCB1_ZeroInit,6,8,ucb1_q,500.72413793103453,"{'avg_cooperate': 0.07269257925517242, 'avg_defect': 2.4170990369033314}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.6,): {'cooperate': 0.1696460379310345, 'defect': 1.410517892246188}, (0.8,): {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.2,): {'cooperate': 0.11569217213793105, 'defect': 9.916787088822193}, (0.4,): {'cooperate': 0.07812468620689657, 'defect': 0.48922468620689663}}"
UCB1_ZeroInit,6,9,ucb1_q,492.0,"{'avg_cooperate': 0.0912319215837755, 'avg_defect': 2.9177784263461355}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.4,): {'cooperate': 0.12865310979206895, 'defect': 1.186941735149267}, (0.8,): {'cooperate': 0.09576332068965521, 'defect': 0.5708111012758621}, (0.2,): {'cooperate': 0.13016642826717095, 'defect': 9.913360868959414}}"
UCB1_ZeroInit,6,10,ucb1_q,492.9655172413793,"{'avg_cooperate': 0.07746674773508071, 'avg_defect': 2.4231626352425097}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.6,): {'cooperate': 0.030990196551724143, 'defect': 0.33847836896551725}, (0.4,): {'cooperate': 0.08473159655172416, 'defect': 1.4163281468274072}, (0.8,): {'cooperate': 0.10105817306896556, 'defect': 0.4512383075517243}, (0.2,): {'cooperate': 0.1498641173305759, 'defect': 9.909768352867898}}"
