scenario_name,agent_id,strategy,final_score,final_q_values,full_q_values
FullyConnected_Mixed,0,q_learning,771.1578947368457,"{'avg_cooperate': 4.386202283113002, 'avg_defect': 7.461074715757232}","{'initial': {'cooperate': 0.1736842105263158, 'defect': 0.0}, (0.6,): {'cooperate': 6.787340142003651, 'defect': 13.022362462722883}, (0.4,): {'cooperate': 10.771959572785207, 'defect': 15.200232547660539}, (0.2,): {'cooperate': 4.055922227091945, 'defect': 9.082778568402736}, (0.8,): {'cooperate': 0.14210526315789473, 'defect': 0.0}}"
FullyConnected_Mixed,1,q_learning,846.526315789476,"{'avg_cooperate': 6.891105762502772, 'avg_defect': 6.9083152892908775}","{'initial': {'cooperate': 0.1736842105263158, 'defect': 0.0}, (0.6,): {'cooperate': 5.9630373490320006, 'defect': 5.445885679451083}, (0.4,): {'cooperate': 18.134080397259325, 'defect': 19.46653587788704}, (0.2,): {'cooperate': 3.293621093193443, 'defect': 2.7208395998253887}}"
FullyConnected_Mixed,2,q_learning,1008.631578947374,"{'avg_cooperate': 6.1214098159137444, 'avg_defect': 8.379098151738932}","{'initial': {'cooperate': 0.1736842105263158, 'defect': 0.0}, (0.6,): {'cooperate': 9.226508963791948, 'defect': 13.66590367117292}, (0.4,): {'cooperate': 18.18919207167284, 'defect': 19.755341676536947}, (0.2,): {'cooperate': 2.8597690967355103, 'defect': 8.474245410984787}, (0.8,): {'cooperate': 0.15789473684210528, 'defect': 0.0}}"
FullyConnected_Mixed,3,q_learning,667.7894736842121,"{'avg_cooperate': 5.554072146047709, 'avg_defect': 6.986669743561491}","{'initial': {'cooperate': 0.1736842105263158, 'defect': 0.0}, (0.6,): {'cooperate': 5.186270266500356, 'defect': 4.277390209636793}, (0.4,): {'cooperate': 11.382788073781606, 'defect': 14.540703369621237}, (0.2,): {'cooperate': 5.473546033382556, 'defect': 9.128585394987931}}"
FullyConnected_Mixed,4,q_learning,840.6315789473708,"{'avg_cooperate': 5.3554935095212794, 'avg_defect': 5.1627368349132166}","{'initial': {'cooperate': 0.0, 'defect': 0.3526315789473684}, (0.8,): {'cooperate': 0.12631578947368421, 'defect': 0.0}, (0.6,): {'cooperate': 5.935701691058413, 'defect': 4.423333668870427}, (0.4,): {'cooperate': 17.477128850802032, 'defect': 19.562071911512653}, (0.2,): {'cooperate': 3.2383212162722654, 'defect': 1.4756470152356334}}"
FullyConnected_Mixed,5,tit_for_tat,898.2631578947401,,
FullyConnected_Mixed,6,tit_for_tat,877.9473684210562,,
FullyConnected_Mixed,7,tit_for_tat,915.8421052631616,,
FullyConnected_Mixed,8,tit_for_tat,914.8947368421092,,
FullyConnected_Mixed,9,tit_for_tat,900.1052631578985,,
FullyConnected_Mixed,10,always_defect,1141.0526315789525,,
FullyConnected_Mixed,11,always_defect,1141.0526315789525,,
FullyConnected_Mixed,12,always_defect,1141.0526315789525,,
FullyConnected_Mixed,13,always_defect,1141.0526315789525,,
FullyConnected_Mixed,14,always_defect,1141.0526315789525,,
FullyConnected_Mixed,15,random,764.2631578947385,,
FullyConnected_Mixed,16,random,774.8947368421075,,
FullyConnected_Mixed,17,random,779.5263157894752,,
FullyConnected_Mixed,18,random,766.1578947368441,,
FullyConnected_Mixed,19,random,772.0526315789496,,
