scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
WolfPHC_SmallWorld,0,wolf_phc,122.65517241379315,"{'avg_cooperate': 0.6637417776891122, 'avg_defect': 0.3121584639273817}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1.0,): {'cooperate': 0.8638951394728488, 'defect': 0.5171654837586614}, (0.4,): {'cooperate': 1.0414735262680186, 'defect': 0.6430433387957746}, (0.8,): {'cooperate': 1.326129585841547, 'defect': 0.4005834970824726}, (0.2,): {'cooperate': 0.0716933954838362, 'defect': 0.0}}"
WolfPHC_SmallWorld,1,wolf_phc,376.7586206896554,"{'avg_cooperate': 0.7756609635263985, 'avg_defect': 1.6596953763662003}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 1.1846801388166612, 'defect': 0.42416903934479117}, (0.8,): {'cooperate': 1.6490068256143333, 'defect': 8.677573672998424}, (0.4,): {'cooperate': 0.2107509179245318, 'defect': 0.0}, (0.6,): {'cooperate': 1.57332100225114, 'defect': 0.8564295458539871}, (0.2,): {'cooperate': 0.015517241379310346, 'defect': 0.0}}"
WolfPHC_SmallWorld,2,wolf_phc,180.3793103448285,"{'avg_cooperate': 1.017069346487808, 'avg_defect': 0.4146044334803145}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 1.4231996605576984, 'defect': 0.5594702282257281}, (0.8,): {'cooperate': 2.0565952405254975, 'defect': 0.9305644002041193}, (0.6,): {'cooperate': 1.4424666893187459, 'defect': 0.5829875389717253}, (0.4,): {'cooperate': 0.1423954868646846, 'defect': 0.0}}"
WolfPHC_SmallWorld,3,wolf_phc,420.6551724137935,"{'avg_cooperate': 0.9129228024596822, 'avg_defect': 2.1614404419394324}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 0.9343857646086515, 'defect': 0.37439198942319957}, (0.8,): {'cooperate': 1.892013010273083, 'defect': 9.631194141250617}, (0.6,): {'cooperate': 1.4792114603579596, 'defect': 0.8016160790233442}, (0.4,): {'cooperate': 0.23831412188630338, 'defect': 0.0}}"
WolfPHC_SmallWorld,4,wolf_phc,150.51724137931075,"{'avg_cooperate': 0.7574858685032168, 'avg_defect': 0.3527025048403937}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1.0,): {'cooperate': 1.9144287122389552, 'defect': 0.6853434677841523}, (0.8,): {'cooperate': 1.56179201211994, 'defect': 1.0781690564178164}, (0.4,): {'cooperate': 0.26473448022615426, 'defect': 0.0}, (0.2,): {'cooperate': 0.03095689655172414, 'defect': 0.0}}"
WolfPHC_SmallWorld,5,wolf_phc,418.8275862068969,"{'avg_cooperate': 0.9074289327725338, 'avg_defect': 1.9636818750648315}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 1.2073040074167665, 'defect': 0.22989527130203172}, (0.8,): {'cooperate': 2.4436153286583733, 'defect': 0.6366803538475814}, (0.6,): {'cooperate': 1.6039989088465452, 'defect': 8.213684110062529}, (0.4,): {'cooperate': 0.11734500688593147, 'defect': 2.7018315151768473}, (0.2,): {'cooperate': 0.04644827586206897, 'defect': 0.0}}"
WolfPHC_SmallWorld,6,wolf_phc,203.44827586207015,"{'avg_cooperate': 1.055968690366093, 'avg_defect': 0.5402358150254265}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 2.344477510999288, 'defect': 1.2108299974392291}, (0.8,): {'cooperate': 2.113092442405905, 'defect': 1.3164377416136088}, (0.6,): {'cooperate': 0.7808941880804438, 'defect': 0.1739113360742945}, (0.4,): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
WolfPHC_SmallWorld,7,wolf_phc,148.68965517241406,"{'avg_cooperate': 0.7628245238449624, 'avg_defect': 0.32324022417145526}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1.0,): {'cooperate': 2.021503628875966, 'defect': 0.9325194449113741}, (0.8,): {'cooperate': 1.519899481553711, 'defect': 0.6106768816298417}, (0.4,): {'cooperate': 0.24685743982961772, 'defect': 0.07300479431606026}, (0.2,): {'cooperate': 0.010344827586206896, 'defect': 0.0}}"
WolfPHC_SmallWorld,8,wolf_phc,417.17241379310195,"{'avg_cooperate': 1.1023160659875484, 'avg_defect': 2.437369471239407}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (1.0,): {'cooperate': 0.62230999093373, 'defect': 0.26511460818205407}, (0.6,): {'cooperate': 3.6711408067347677, 'defect': 9.484363276775573}, (0.2,): {'cooperate': 0.10546863869548861, 'defect': 0.0}}"
WolfPHC_SmallWorld,9,wolf_phc,84.55172413793078,"{'avg_cooperate': 0.42643725538258426, 'avg_defect': 0.21025613574537377}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1.0,): {'cooperate': 0.2660575007322353, 'defect': 0.0}, (0.8,): {'cooperate': 0.696991930627758, 'defect': 0.33745601044925}, (0.4,): {'cooperate': 0.955949003815068, 'defect': 0.7138246682776189}, (0.2,): {'cooperate': 0.19767060035854997, 'defect': 0.0}}"
