scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
UCB1_OptimisticInit,0,ucb1_q,505.44827586206895,"{'avg_cooperate': 0.15449879445993106, 'avg_defect': 2.565350353597803}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (0.6,): {'cooperate': 0.24649705862068966, 'defect': 1.6459790584052243}, (0.4,): {'cooperate': 0.23629292068965518, 'defect': 1.2698614671874318}, (0.8,): {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.2,): {'cooperate': 0.21729019988586212, 'defect': 9.91091124239636}}"
UCB1_OptimisticInit,1,ucb1_q,496.41379310344826,"{'avg_cooperate': 0.08344861117231554, 'avg_defect': 2.0032985573147855}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.6,): {'cooperate': 0.15880056206896553, 'defect': 0.502466079310345}, (0.4,): {'cooperate': 0.1312667275862069, 'defect': 1.4772697609901233}, (1.0,): {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.2,): {'cooperate': 0.16924506703389314, 'defect': 9.912469296691691}, (0.8,): {'cooperate': 0.0, 'defect': 0.12758620689655173}}"
UCB1_OptimisticInit,2,ucb1_q,495.44827586206895,"{'avg_cooperate': 0.09693877507249656, 'avg_defect': 1.9344001613546016}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.6,): {'cooperate': 0.14727054548275864, 'defect': 0.7614608744686863}, (0.8,): {'cooperate': 0.03217241379310345, 'defect': 0.22631034482758622}, (0.4,): {'cooperate': 0.19839296662039657, 'defect': 0.5618994342879311}, (1.0,): {'cooperate': 0.0, 'defect': 0.0}, (0.2,): {'cooperate': 0.20379672453872072, 'defect': 9.915351004198579}}"
UCB1_OptimisticInit,3,ucb1_q,499.3103448275862,"{'avg_cooperate': 0.10350076562672415, 'avg_defect': 2.0610910423442017}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.6,): {'cooperate': 0.1609855119310345, 'defect': 0.5042728429655172}, (0.4,): {'cooperate': 0.2055798310344828, 'defect': 1.6522737717115188}, (0.8,): {'cooperate': 0.031034482758620693, 'defect': 0.1579655172413793}, (1.0,): {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.2,): {'cooperate': 0.18202545769137932, 'defect': 9.910654811801965}}"
UCB1_OptimisticInit,4,ucb1_q,492.2068965517241,"{'avg_cooperate': 0.07902670598866632, 'avg_defect': 2.341262737293353}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (0.8,): {'cooperate': 0.08988195517241379, 'defect': 0.5033491011379311}, (0.4,): {'cooperate': 0.16507086001318327, 'defect': 1.1622861409177885}, (1.0,): {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.2,): {'cooperate': 0.11949105958532072, 'defect': 9.913092237514492}}"
UCB1_OptimisticInit,5,ucb1_q,491.62068965517244,"{'avg_cooperate': 0.1017119122659343, 'avg_defect': 2.3392010484752226}","{'initial': {'cooperate': 0.0, 'defect': 0.11379310344827587}, (0.4,): {'cooperate': 0.19075721050655178, 'defect': 0.6778158876410346}, (0.8,): {'cooperate': 0.08679931882758622, 'defect': 0.35345708275862076}, (0.6,): {'cooperate': 0.06834505862068967, 'defect': 0.6386010997817242}, (0.2,): {'cooperate': 0.16265797337484383, 'defect': 9.912338068746458}}"
UCB1_OptimisticInit,6,ucb1_q,497.44827586206895,"{'avg_cooperate': 0.11662693056093727, 'avg_defect': 2.371595444189688}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.6,): {'cooperate': 0.17895778965517245, 'defect': 1.2827685353159084}, (0.4,): {'cooperate': 0.11266784203448277, 'defect': 0.5468611381313794}, (0.8,): {'cooperate': 0.030931034482758624, 'defect': 0.11379310344827587}, (0.2,): {'cooperate': 0.21919867628744485, 'defect': 9.914554444052875}}"
UCB1_OptimisticInit,7,ucb1_q,497.8620689655172,"{'avg_cooperate': 0.13912476762339934, 'avg_defect': 2.40865252656834}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (0.4,): {'cooperate': 0.27616896828724147, 'defect': 1.0228000343630235}, (0.8,): {'cooperate': 0.041379310344827586, 'defect': 0.15889655172413794}, (0.6,): {'cooperate': 0.16063560662068965, 'defect': 0.9492356723444763}, (0.2,): {'cooperate': 0.18640547010561725, 'defect': 9.912330374410061}}"
UCB1_OptimisticInit,8,ucb1_q,497.2068965517241,"{'avg_cooperate': 0.07662130223234484, 'avg_defect': 2.2749143087578774}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.8,): {'cooperate': 0.03217241379310345, 'defect': 0.22631034482758622}, (0.4,): {'cooperate': 0.17560398292034485, 'defect': 0.6779510738479311}, (0.6,): {'cooperate': 0.07417817586206897, 'defect': 0.39492545172413795}, (0.2,): {'cooperate': 0.10115193858620691, 'defect': 9.920212259596628}}"
UCB1_OptimisticInit,9,ucb1_q,495.8965517241379,"{'avg_cooperate': 0.09325616229461381, 'avg_defect': 2.2686323393399332}","{'initial': {'cooperate': 0.0, 'defect': 0.1413793103448276}, (0.6,): {'cooperate': 0.04105758620689656, 'defect': 0.3240472413793104}, (0.2,): {'cooperate': 0.20883637001860345, 'defect': 9.919255891266909}, (0.8,): {'cooperate': 0.042517241379310344, 'defect': 0.2401034482758621}, (0.4,): {'cooperate': 0.17386961386825867, 'defect': 0.7183758054327587}}"
