scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
UCB1_ScaleFree,0,ucb1_q,506.41379310344814,"{'avg_cooperate': 0.09086705343737415, 'avg_defect': 2.0342233081685177}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.8,): {'cooperate': 0.0, 'defect': 0.12758620689655173}, (0.4,): {'cooperate': 0.14601021724137933, 'defect': 1.2032603467247949}, (0.6,): {'cooperate': 0.13558001948275863, 'defect': 0.737807308910569}, (1.0,): {'cooperate': 0.023068965517241382, 'defect': 0.1413793103448276}, (0.2,): {'cooperate': 0.19916380803803796, 'defect': 9.995306676134362}}"
UCB1_ScaleFree,1,ucb1_q,492.51724137931035,"{'avg_cooperate': 0.07469802367862415, 'avg_defect': 3.5695153316938826}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (1.0,): {'cooperate': 0.11679981681413795, 'defect': 0.7856701598573509}, (0.2,): {'cooperate': 0.0969494266355276, 'defect': 9.922875835224298}}"
UCB1_ScaleFree,2,ucb1_q,514.3103448275858,"{'avg_cooperate': 0.16172970790572416, 'avg_defect': 2.6743397154345545}","{'initial': {'cooperate': 0.07241379310344828, 'defect': 0.0}, (0.6,): {'cooperate': 0.2547243357931035, 'defect': 1.5041571348827338}, (0.8,): {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.4,): {'cooperate': 0.22387639655172414, 'defect': 1.8605003757142082}, (0.2,): {'cooperate': 0.21625470373551728, 'defect': 10.00704106657583}}"
UCB1_ScaleFree,3,ucb1_q,508.65517241379297,"{'avg_cooperate': 0.15435399842247932, 'avg_defect': 2.4619597825718107}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (0.6,): {'cooperate': 0.18949846551724142, 'defect': 0.5430844827586208}, (0.4,): {'cooperate': 0.3049302886641207, 'defect': 1.6495851792120226}, (0.8,): {'cooperate': 0.045000000000000005, 'defect': 0.15517241379310345}, (0.2,): {'cooperate': 0.1702722724137931, 'defect': 9.961956837095306}}"
UCB1_ScaleFree,4,ucb1_q,501.13793103448245,"{'avg_cooperate': 0.11478342216479136, 'avg_defect': 2.122090266256139}","{'initial': {'cooperate': 0.0, 'defect': 0.16896551724137931}, (1.0,): {'cooperate': 0.031034482758620693, 'defect': 0.11658620689655173}, (0.6,): {'cooperate': 0.15178399655172414, 'defect': 0.7594806601927588}, (0.8,): {'cooperate': 0.08649827586206899, 'defect': 0.28120689655172415}, (0.4,): {'cooperate': 0.23932136373598942, 'defect': 1.4089851664652666}, (0.2,): {'cooperate': 0.18006241408034485, 'defect': 9.997317150189152}}"
UCB1_ScaleFree,5,ucb1_q,523.9655172413784,"{'avg_cooperate': 0.13737914872411275, 'avg_defect': 2.5503397456471117}","{'initial': {'cooperate': 0.07241379310344828, 'defect': 0.0}, (1.0,): {'cooperate': 0.06817241379310346, 'defect': 0.18275862068965518}, (0.8,): {'cooperate': 0.24666123123620692, 'defect': 2.0563214290937633}, (0.4,): {'cooperate': 0.14685431379310349, 'defect': 2.390979804629793}, (0.6,): {'cooperate': 0.08852457931034484, 'defect': 0.46411520000000006}, (0.2,): {'cooperate': 0.20164856110846952, 'defect': 10.207863419469458}}"
UCB1_ScaleFree,6,ucb1_q,494.0,"{'avg_cooperate': 0.07070938278106811, 'avg_defect': 2.908004131739563}","{'initial': {'cooperate': 0.0, 'defect': 0.12758620689655173}, (1.0,): {'cooperate': 0.010344827586206896, 'defect': 0.21357689655172418}, (0.6,): {'cooperate': 0.13868981443565176, 'defect': 1.375301265143471}, (0.2,): {'cooperate': 0.1338028891024138, 'defect': 9.915552158366504}}"
UCB1_ScaleFree,7,ucb1_q,502.06896551724117,"{'avg_cooperate': 0.1036478522558234, 'avg_defect': 2.132203764836787}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (0.8,): {'cooperate': 0.07608310344827587, 'defect': 0.4199106896551725}, (0.6,): {'cooperate': 0.2074057570849404, 'defect': 0.7614581296411}, (0.4,): {'cooperate': 0.1312667275862069, 'defect': 1.4858294568681412}, (1.0,): {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.2,): {'cooperate': 0.16575221507068966, 'defect': 9.970851899063202}}"
UCB1_ScaleFree,8,ucb1_q,491.68965517241384,"{'avg_cooperate': 0.09618415668985243, 'avg_defect': 2.490789930633137}","{'initial': {'cooperate': 0.010344827586206896, 'defect': 0.0}, (0.4,): {'cooperate': 0.14176883408049315, 'defect': 1.7065691114522799}, (0.6,): {'cooperate': 0.09170504203448278, 'defect': 0.49138586617241387}, (0.8,): {'cooperate': 0.0801095275862069, 'defect': 0.35135758620689655}, (0.2,): {'cooperate': 0.15699255216187244, 'defect': 9.904637089334095}}"
UCB1_ScaleFree,9,ucb1_q,498.8965517241379,"{'avg_cooperate': 0.06032619705517241, 'avg_defect': 2.3298941920177176}","{'initial': {'cooperate': 0.0, 'defect': 0.15517241379310345}, (0.8,): {'cooperate': 0.05284034482758621, 'defect': 0.25389655172413794}, (0.4,): {'cooperate': 0.10928194137931035, 'defect': 1.1915809829347568}, (0.2,): {'cooperate': 0.11881904389655173, 'defect': 9.919372735774521}, (0.6,): {'cooperate': 0.020689655172413793, 'defect': 0.12944827586206897}}"
