scenario_name,run_number,round,agent_id,move,payoff,strategy
TFT_vs_Defect_WithExploration,2,0,0,cooperate,3,tit_for_tat
TFT_vs_Defect_WithExploration,2,0,1,cooperate,3,tit_for_tat
TFT_vs_Defect_WithExploration,2,0,2,defect,10,always_defect
TFT_vs_Defect_WithExploration,2,1,0,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,1,1,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,1,2,defect,2,always_defect
TFT_vs_Defect_WithExploration,2,2,0,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,2,1,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,2,2,defect,2,always_defect
TFT_vs_Defect_WithExploration,2,3,0,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,3,1,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,3,2,defect,2,always_defect
TFT_vs_Defect_WithExploration,2,4,0,cooperate,8,tit_for_tat
TFT_vs_Defect_WithExploration,2,4,1,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,4,2,cooperate,1,always_defect
TFT_vs_Defect_WithExploration,2,5,0,cooperate,6,tit_for_tat
TFT_vs_Defect_WithExploration,2,5,1,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,5,2,cooperate,4,always_defect
TFT_vs_Defect_WithExploration,2,6,0,cooperate,6,tit_for_tat
TFT_vs_Defect_WithExploration,2,6,1,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,6,2,cooperate,4,always_defect
TFT_vs_Defect_WithExploration,2,7,0,cooperate,3,tit_for_tat
TFT_vs_Defect_WithExploration,2,7,1,cooperate,8,tit_for_tat
TFT_vs_Defect_WithExploration,2,7,2,defect,5,always_defect
TFT_vs_Defect_WithExploration,2,8,0,cooperate,4,tit_for_tat
TFT_vs_Defect_WithExploration,2,8,1,cooperate,6,tit_for_tat
TFT_vs_Defect_WithExploration,2,8,2,defect,4,always_defect
TFT_vs_Defect_WithExploration,2,9,0,defect,10,tit_for_tat
TFT_vs_Defect_WithExploration,2,9,1,cooperate,0,tit_for_tat
TFT_vs_Defect_WithExploration,2,9,2,cooperate,5,always_defect
TFT_vs_Defect_WithExploration,2,10,0,cooperate,3,tit_for_tat
TFT_vs_Defect_WithExploration,2,10,1,defect,10,tit_for_tat
TFT_vs_Defect_WithExploration,2,10,2,cooperate,3,always_defect
TFT_vs_Defect_WithExploration,2,11,0,defect,8,tit_for_tat
TFT_vs_Defect_WithExploration,2,11,1,cooperate,3,tit_for_tat
TFT_vs_Defect_WithExploration,2,11,2,cooperate,6,always_defect
TFT_vs_Defect_WithExploration,2,12,0,cooperate,0,tit_for_tat
TFT_vs_Defect_WithExploration,2,12,1,defect,5,tit_for_tat
TFT_vs_Defect_WithExploration,2,12,2,defect,10,always_defect
TFT_vs_Defect_WithExploration,2,13,0,defect,6,tit_for_tat
TFT_vs_Defect_WithExploration,2,13,1,cooperate,5,tit_for_tat
TFT_vs_Defect_WithExploration,2,13,2,defect,1,always_defect
TFT_vs_Defect_WithExploration,2,14,0,cooperate,5,tit_for_tat
