scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Asymmetric_Payoffs,0,0,tit_for_tat,481,,
Asymmetric_Payoffs,0,1,always_cooperate,285,,
Asymmetric_Payoffs,0,2,always_defect,756,,
Asymmetric_Payoffs,1,0,tit_for_tat,480,,
Asymmetric_Payoffs,1,1,always_cooperate,296,,
Asymmetric_Payoffs,1,2,always_defect,664,,
Asymmetric_Payoffs,2,0,tit_for_tat,475,,
Asymmetric_Payoffs,2,1,always_cooperate,331,,
Asymmetric_Payoffs,2,2,always_defect,692,,
Asymmetric_Payoffs,3,0,tit_for_tat,441,,
Asymmetric_Payoffs,3,1,always_cooperate,309,,
Asymmetric_Payoffs,3,2,always_defect,710,,
Asymmetric_Payoffs,4,0,tit_for_tat,446,,
Asymmetric_Payoffs,4,1,always_cooperate,311,,
Asymmetric_Payoffs,4,2,always_defect,663,,
Baseline_AllCooperate,0,0,always_cooperate,600,,
Baseline_AllCooperate,0,1,always_cooperate,600,,
Baseline_AllCooperate,0,2,always_cooperate,600,,
Baseline_AllCooperate,1,0,always_cooperate,600,,
Baseline_AllCooperate,1,1,always_cooperate,600,,
Baseline_AllCooperate,1,2,always_cooperate,600,,
Baseline_AllCooperate,2,0,always_cooperate,600,,
Baseline_AllCooperate,2,1,always_cooperate,600,,
Baseline_AllCooperate,2,2,always_cooperate,600,,
Baseline_AllCooperate,3,0,always_cooperate,600,,
Baseline_AllCooperate,3,1,always_cooperate,600,,
Baseline_AllCooperate,3,2,always_cooperate,600,,
Baseline_AllCooperate,4,0,always_cooperate,600,,
Baseline_AllCooperate,4,1,always_cooperate,600,,
Baseline_AllCooperate,4,2,always_cooperate,600,,
Baseline_AllDefect,0,0,always_defect,200,,
Baseline_AllDefect,0,1,always_defect,200,,
Baseline_AllDefect,0,2,always_defect,200,,
Baseline_AllDefect,1,0,always_defect,200,,
Baseline_AllDefect,1,1,always_defect,200,,
Baseline_AllDefect,1,2,always_defect,200,,
Baseline_AllDefect,2,0,always_defect,200,,
Baseline_AllDefect,2,1,always_defect,200,,
Baseline_AllDefect,2,2,always_defect,200,,
Baseline_AllDefect,3,0,always_defect,200,,
Baseline_AllDefect,3,1,always_defect,200,,
Baseline_AllDefect,3,2,always_defect,200,,
Baseline_AllDefect,4,0,always_defect,200,,
Baseline_AllDefect,4,1,always_defect,200,,
Baseline_AllDefect,4,2,always_defect,200,,
Exploration_Effect_Test,0,0,tit_for_tat,437,,
Exploration_Effect_Test,0,1,tit_for_tat,441,,
Exploration_Effect_Test,0,2,tit_for_tat,453,,
Exploration_Effect_Test,1,0,tit_for_tat,379,,
Exploration_Effect_Test,1,1,tit_for_tat,371,,
Exploration_Effect_Test,1,2,tit_for_tat,454,,
Exploration_Effect_Test,2,0,tit_for_tat,450,,
Exploration_Effect_Test,2,1,tit_for_tat,435,,
Exploration_Effect_Test,2,2,tit_for_tat,422,,
